번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
37,물류관리론,LM06,중,"가전업체 A사는 세계 여러 국가에 동일한 기본형 커피머신을 공급한다. 본체는 공통규격으로 미리 생산하지만 전원플러그·언어표시 패널·포장표시는 실제 주문국가가 확정된 후 물류거점에서 최종 조립하기로 하였다. 이에 해당하는 공급사슬 전략은?","","Continuous Replenishment","Vendor Managed Inventory","Cross Docking","Postponement","Efficient Consumer Response",4,"Postponement는 제품의 차별화나 최종 조립시점을 고객수요가 확정되는 시점까지 늦추는 전략이다. 공통부품은 미리 생산하고 국가별 플러그나 표시사항을 주문 후에 완성하면 수요불확실성에 대응하면서 완제품 재고를 줄일 수 있으므로 ④가 옳다."
38,물류관리론,LM06,상,"공급사슬에서 채찍효과(Bullwhip Effect)를 완화하기 위한 방법으로 가장 적절하지 않은 것은?","","소매점의 실제 판매정보를 공급사슬 참여기업이 신속하게 공유한다.","일시적인 가격할인을 이용한 선행구매와 대량주문을 적극적으로 유도한다.","주문을 일정 기간 모아 한꺼번에 발주하는 관행을 줄이고 주문주기를 단축한다.","공급부족이 예상될 때 과도한 주문을 유발하는 배분방식을 개선한다.","공급자와 구매자가 재고정보와 수요예측정보를 공동으로 활용한다.",2,"채찍효과는 최종소비자의 작은 수요변동이 공급사슬 상류로 전달되면서 주문변동이 증폭되는 현상이다. 실시간 정보공유·주문주기 단축·합리적인 배분정책 등은 이를 줄이는 데 도움이 된다. 반면 가격할인에 따른 선행구매와 대량주문은 주문변동을 확대할 수 있으므로 ②가 적절하지 않다."
39,물류관리론,LM06,하,"다음 그림과 같이 공급자로부터 입고된 상품을 장기간 보관하지 않고 입고장에서 목적지별로 분류한 뒤 바로 출고차량으로 옮겨 소매점으로 배송하는 물류운영 방식은?","images/questions/logistics/26회-1/q039.png","Vendor Managed Inventory","Postponement","Cross Docking","Continuous Replenishment","Material Requirements Planning",3,"Cross Docking은 입고된 상품을 창고에 장기간 저장하지 않고 입고 후 분류·통합 등의 작업을 거쳐 빠르게 출고하는 물류방식이다. 보관시간과 재고를 줄이고 물류센터의 통과흐름을 높이는 데 목적이 있으므로 ③이 옳다."
40,물류관리론,LM08,중,"공급사슬 보안과 관련된 다음 세 제도의 연결로 옳은 것은? A. 국제표준화기구가 제정한 공급사슬 보안관리시스템 관련 국제표준 B. 관세당국이 법규준수와 안전관리 수준이 우수한 기업을 인증하여 통관상 혜택을 제공하는 제도 C. 미국 세관·국경보호국이 기업과 협력하여 국제 공급사슬의 보안을 강화하는 민관협력 프로그램","","A: AEO / B: ISO 28000 / C: C-TPAT","A: C-TPAT / B: AEO / C: ISO 28000","A: ISO 28000 / B: C-TPAT / C: AEO","A: AEO / B: C-TPAT / C: ISO 28000","A: ISO 28000 / B: AEO / C: C-TPAT",5,"ISO 28000은 공급사슬 보안관리시스템과 관련된 국제표준이다. AEO는 관세당국이 법규준수와 안전관리 수준이 우수한 기업을 공인하고 통관상 혜택을 제공하는 제도이며 C-TPAT은 미국 세관·국경보호국이 기업과 협력하여 공급사슬 보안을 강화하는 프로그램이다. 따라서 ⑤가 옳다."
41,화물운송론,FT01,중,"A기업은 공장에서 항만까지 화물자동차로 화물을 운송한 후 선박을 이용하여 해외 항만까지 운송한다. 화물운송의 3요소인 Link·Mode·Node의 연결로 가장 적절한 것은?","","도로와 해상항로는 Mode, 화물자동차와 선박은 Node, 공장과 항만은 Link에 해당한다.","도로와 해상항로는 Link, 화물자동차와 선박은 Mode, 공장과 항만은 Node에 해당한다.","도로와 해상항로는 Node, 화물자동차와 선박은 Link, 공장과 항만은 Mode에 해당한다.","도로는 Link에 해당하지만 해상항로는 운송수단이므로 Mode에 해당한다.","공장과 항만은 모두 화물을 운반하는 수단이므로 Mode에 해당한다.",2,"화물운송의 기본 3요소는 운송경로인 Link, 운송수단인 Mode, 운송거점인 Node이다. 도로·철도·항로 등은 Link, 화물자동차·철도·선박 등은 Mode, 터미널·항만·공장 등의 연결거점은 Node에 해당하므로 ②가 옳다."
42,화물운송론,FT01,하,"화물운송의 기능과 효율화에 관한 설명으로 가장 적절하지 않은 것은?","","운송은 화물을 한 장소에서 다른 장소로 이동시켜 장소적 효용을 창출한다.","운송과정에서 발생하는 일시적인 대기는 화물이 일정 시간 운송수단에 머무르는 효과를 가져올 수 있다.","운송효율을 높이기 위해서는 적재율과 공차율 등을 함께 고려할 필요가 있다.","운송비를 낮추기 위해 화물을 가능한 한 소량으로 나누어 높은 빈도로 반복 운송하는 것이 일반적으로 유리하다.","운송망의 개선은 생산지와 소비시장의 접근성을 높여 시장범위 확대에 기여할 수 있다.",4,"일반적으로 운송비 절감에는 적재율 향상과 운송단위의 대형화가 유리하다. 소량 화물을 지나치게 자주 운송하면 운행횟수와 취급비용이 증가할 수 있으므로 ④가 적절하지 않다."
43,화물운송론,FT01,상,"운송수단을 선택할 때 고려해야 할 사항으로 옳은 것만을 모두 고른 것은? ㄱ. 총운송비와 부대비용을 비교한다. ㄴ. 정시성·신뢰성·운송시간 등 서비스 특성을 검토한다. ㄷ. 틈새시장이나 특수화물이라도 일반화물과 반드시 동일한 평가기준만을 적용한다. ㄹ. 화물의 크기·중량·가치·부패성 등 운송제약조건을 검토한다.","","ㄱ·ㄴ·ㄹ","ㄱ·ㄷ","ㄴ·ㄷ·ㄹ","ㄱ·ㄴ·ㄷ","ㄷ·ㄹ",1,"운송수단 선택에는 비용뿐 아니라 운송시간·신뢰성·안전성·화물특성 및 운송제약 등을 종합적으로 고려해야 한다. 특수화물이나 특화서비스는 일반화물과 다른 기준을 추가로 적용할 수 있으므로 ㄷ은 옳지 않다. 따라서 ㄱ·ㄴ·ㄹ인 ①이 옳다."
44,화물운송론,FT01,중,"운송수단별 비용특성에 관한 설명으로 가장 적절하지 않은 것은?","","철도운송은 터미널과 선로 등에 대한 고정비 부담이 상대적으로 크지만 장거리 대량운송에서 경제성을 확보할 수 있다.","화물자동차운송은 문전운송이 용이하고 단거리·소량화물 운송에서 경쟁력이 높은 편이다.","항공운송은 운송시간이 짧아 고가품이나 긴급화물에서 재고유지비 감소효과를 얻을 수 있다.","파이프라인운송은 시설투자비 부담이 크지만 일정한 화물을 지속적으로 운송하면 낮은 운영비를 기대할 수 있다.","해상운송은 장거리 대량화물 운송에서도 일반적으로 화물자동차운송보다 단위당 운송비가 높기 때문에 비용상 이점이 거의 없다.",5,"해상운송은 속도가 느리지만 대량화물을 장거리로 운송할 때 규모의 경제를 활용할 수 있어 단위당 운송비가 낮은 대표적 운송수단이다. 따라서 ⑤가 적절하지 않다."
45,화물운송론,FT01,중,"파이프라인 운송의 특성에 관한 설명으로 가장 적절한 것은?","","수요 변화에 따라 운송경로를 자유롭게 변경할 수 있어 노선 유연성이 매우 높다.","고체·액체·컨테이너 등 거의 모든 종류의 화물을 동일한 설비로 운송할 수 있다.","초기 시설투자비는 큰 편이지만 특정 유체화물을 지속적·대량으로 운송하는 경우 운영비를 낮출 수 있다.","계절별 수요가 크게 변하고 운송량이 불규칙한 화물에 가장 적합하다.","필요할 때마다 단기간에 새로운 운송노선을 설치하거나 철거하기 쉽다.",3,"파이프라인은 설치에 많은 초기투자가 필요하고 운송대상과 운송경로의 제약도 크다. 그러나 석유·가스 등 특정 유체화물을 지속적으로 대량 운송하면 인력과 운영비 부담을 낮출 수 있으므로 ③이 옳다."
46,화물운송론,FT01,중,"A기업은 새로운 운송수단을 평가하면서 물류거점 간 연결의 용이성, 예약 및 운송서류 작성절차의 간단함, 필요할 때 관련 운송서류를 쉽게 이용할 수 있는지를 중점적으로 검토하고 있다. 이러한 평가요건에 가장 가까운 것은?","","안전성","편리성","신뢰성","신속성","경제성",2,"물류네트워크와의 연결 용이성, 운송절차 및 서류작성의 간편성, 필요한 서류를 쉽게 이용할 수 있는지 여부 등은 운송수단 이용의 편리성과 관련된 평가요소이다. 따라서 ②가 가장 적절하다."
47,화물운송론,FT08,중,"화물운송의 합리화를 위한 방안으로 가장 적절하지 않은 것은?","","공동수배송과 화물정보 연계를 통해 차량 적재율을 높인다.","팔레트·컨테이너 등 유닛로드시스템을 활용하여 하역작업을 효율화한다.","운송경로와 차량배차를 최적화하여 불필요한 운행거리를 줄인다.","정보시스템을 이용하여 차량·화물·배송상태를 체계적으로 관리한다.","운송시장을 가능한 한 많은 영세업체로 세분화하고 각 업체가 모든 종류의 화물을 독립적으로 처리하도록 유도한다.",5,"화물운송의 합리화에는 공동화·정보화·유닛로드화·운송경로 최적화와 함께 운송업체의 전문화 및 적정 규모화 등이 활용될 수 있다. 영세화와 무분별한 분산을 확대하는 ⑤는 합리화 방향과 거리가 멀다."
48,화물운송론,FT03,상,"다음 그림은 동일한 화물량을 운송할 때 화물자동차와 철도의 총운송비를 운송거리에 따라 나타낸 것이다. 교차점 D를 기준으로 한 설명으로 가장 적절한 것은?","images/questions/logistics/26회-1/q048.png","일반적으로 D보다 짧은 거리에서는 화물자동차가, D보다 긴 거리에서는 철도가 비용 측면에서 유리하다.","D보다 짧은 거리에서도 철도의 총비용이 항상 더 낮다.","D를 지나면 화물자동차와 철도의 총비용 차이는 없어지고 이후 동일하게 유지된다.","철도는 고정비가 낮고 거리 증가에 따른 변동비가 크기 때문에 단거리에서 특히 유리하다.","화물자동차는 운송거리가 증가할수록 철도보다 단위거리당 운송비가 빠르게 감소한다.",1,"철도는 터미널·선로 등의 고정비가 상대적으로 크지만 장거리에서는 대량운송의 경제성으로 거리당 비용증가폭이 작다. 화물자동차는 초기 고정비 부담은 작지만 거리 증가에 따른 비용증가가 상대적으로 크다. 따라서 교차점 D보다 짧은 구간은 화물자동차, 긴 구간은 철도가 일반적으로 유리하다."
49,화물운송론,FT01,하,"어떤 화물은 실제 중량은 가볍지만 부피가 매우 크고 적재 시 화물 사이에 상당한 빈 공간이 발생하여 차량의 적재용적을 크게 차지한다. 이러한 화물의 운임산정에 가장 적합한 기준은?","","중량기준","개수기준","종가기준","용적기준","표정기준",4,"중량에 비해 부피가 크거나 적재과정에서 많은 공간을 차지하는 화물은 실제 중량만으로 운임을 결정하면 운송수단의 용적사용 정도를 충분히 반영하기 어렵다. 따라서 적화계수 등을 고려하는 용적기준이 적합하므로 ④가 옳다."
50,화물운송론,FT02,중,"화물자동차를 화물특성에 맞춘 전용 운송구조를 기준으로 구분할 때 해당하는 것만을 모두 고른 것은? ㄱ. 덤프트럭 ㄴ. 분립체 운송차 ㄷ. 적화·하역 합리화차 ㄹ. 측면 전개차 ㅁ. 액체 운송차","","ㄱ·ㄷ","ㄴ·ㄹ","ㄱ·ㄴ·ㅁ","ㄷ·ㄹ·ㅁ","ㄱ·ㄷ·ㄹ",3,"구조에 따른 전용 화물자동차에는 덤프트럭·분립체 운송차·액체 운송차 등 특정 화물의 특성에 맞게 적재부가 설계된 차량이 포함된다. 적화·하역 합리화차와 측면 전개차는 하역효율을 높이기 위한 구조적 분류와 관련되므로 ㄱ·ㄴ·ㅁ인 ③이 옳다."
51,화물운송론,FT02,중,"A화물자동차의 실제 총중량이 42톤이며 다른 운행제한 요소에는 해당하지 않는다고 한다. 일반적인 도로운행 제한기준을 적용할 때 이에 관한 설명으로 가장 적절한 것은?","","총중량과 관계없이 축중만 기준 이하이면 제한대상이 아니다.","총중량이 45톤을 초과할 때부터 제한대상이 된다.","화물자동차는 적재화물의 종류에 따라 총중량 제한을 적용하지 않을 수 있다.","총중량이 기준을 초과하였으므로 제한차량에 해당할 수 있다.","차량길이가 기준 이하라면 총중량 초과 여부는 고려하지 않는다.",4,"화물자동차의 도로운행 제한에서는 축중·총중량·차량의 폭·높이·길이 등의 기준을 함께 고려한다. 일반적으로 총중량 40톤을 초과하는 차량은 제한대상이 될 수 있으므로 총중량이 42톤인 사례에서는 ④가 적절하다."
52,화물운송론,FT02,중,"길이가 매우 긴 철제빔을 운송하려 한다. 화물의 길이에 맞추어 트랙터와 후방 트레일러 사이의 간격을 조절할 수 있고 장척화물 자체를 이용하여 차량을 연결하는 구조가 적합한 경우 가장 알맞은 차량은?","","폴트레일러 트럭(Pole-trailer Truck)","덤프트럭(Dump Truck)","탱크트럭(Tank Truck)","윙바디 트럭(Wing-body Truck)","트랙터-세미트레일러(Tractor-Semitrailer)",1,"폴트레일러 트럭은 대형 파이프·전주·철제빔·장척 목재처럼 길이가 긴 화물을 운송하는 데 적합하다. 트랙터와 후방 트레일러 사이의 거리를 화물길이에 맞추어 조절할 수 있으므로 ①이 적절하다."
53,화물운송론,FT02,하,"화물자동차 운송비 가운데 차량의 운행거리나 운송횟수 변화와 비교적 직접적인 관계가 적은 고정비 항목으로 가장 적절한 것은?","","연료비","고속도로 통행료","타이어 마모비","차량 감가상각비","운행거리에 비례하여 지급되는 운전수당",4,"감가상각비는 차량 보유에 따라 일정 기간 발생하는 대표적인 고정비 성격의 비용이다. 연료비·통행료·타이어비 등은 운행거리나 차량운행량에 따라 달라지는 변동비 성격이 강하다."
54,화물운송론,FT07,상,"위험물을 컨테이너에 수납하여 운송할 때의 일반적인 안전원칙에 관한 설명으로 가장 적절하지 않은 것은?","","컨테이너 내부는 위험물을 수납하기 전에 청결하고 충분히 건조된 상태인지 확인한다.","위험물이 이동·전도·충격·마찰 등으로 손상되지 않도록 적절하게 고정한다.","위험물이 컨테이너 밖으로 노출되지 않도록 적절히 수납하고 문을 확실하게 닫는다.","컨테이너 일부에만 위험물을 적재하는 경우에는 비상 시 신속한 확인과 취급을 고려하여 배치할 필요가 있다.","위험물을 컨테이너 일부에만 수납할 때에는 관리가 어렵도록 출입문에서 가능한 한 가장 먼 곳에 배치하는 것이 원칙이다.",5,"위험물을 컨테이너 일부에 수납하는 경우에는 관리와 비상대응을 고려하여 출입문에서 비교적 가까운 위치에 적절히 배치하는 것이 원칙이다. 문에서 가장 먼 곳에 수납해야 한다는 ⑤는 적절하지 않다."
55,화물운송론,FT07,중,"다음 그림과 같이 바닥 플랫폼과 네 모서리의 기둥을 중심으로 구성되고 지붕과 고정된 측벽이 없어 대형기계·강재 등 규격을 초과하는 중량화물의 적재에 적합한 컨테이너는?","images/questions/logistics/26회-1/q055.png","드라이 컨테이너(Dry Container)","오픈톱 컨테이너(Open Top Container)","리퍼 컨테이너(Reefer Container)","탱크 컨테이너(Tank Container)","플랫랙 컨테이너(Flat Rack Container)",5,"플랫랙 컨테이너는 일반적으로 바닥구조와 끝단 또는 모서리의 지지구조를 중심으로 구성되어 상부와 측면이 개방된다. 따라서 기계류·강재·목재 등 일반 컨테이너에 넣기 어려운 중량·초과규격 화물에 적합하므로 ⑤가 옳다."
56,화물운송론,FT03,중,"한 화주는 출발 터미널에서 목적지 터미널까지 충분한 물량을 확보하여 열차 전체를 편성하고 중간역에서 화차의 조성·분해 작업 없이 직접 운행하려 한다. 이에 가장 적합한 철도화물 운송서비스는?","","Single Wagon Train","Coupling & Sharing Train","Liner Train","Block Train","Shuttle Train",4,"Block Train은 충분한 화물량을 확보하여 하나의 열차편성으로 출발지에서 목적지까지 중간 조성작업을 최소화하거나 생략하고 직접 운행하는 형태이다. 따라서 ④가 가장 적절하다."
57,화물운송론,FT03,상,"철도화물의 운임체계에 관한 설명으로 가장 적절하지 않은 것은?","","공컨테이너는 적컨테이너와 동일한 화물상태로 보아 항상 적컨테이너 운임의 100%를 적용한다.","철도화물 운임은 화차취급운임·컨테이너취급운임·혼재운임 등으로 구분하여 운영할 수 있다.","화물의 종류나 운송조건 등에 따라 할증 또는 할인운임이 적용될 수 있다.","특대화물이나 위험화물과 같이 취급상 추가비용이나 위험이 발생하는 화물에는 할증이 적용될 수 있다.","정형화된 대량화물이나 일정한 조건을 충족하는 운송에는 할인제도가 활용될 수 있다.",1,"공컨테이너는 적컨테이너와 화물상태 및 취급조건이 다르므로 적컨테이너와 동일한 운임을 무조건 적용하는 것은 적절하지 않다. 철도화물 운임에는 화물·차량·취급조건 등에 따른 할인·할증체계가 활용될 수 있으므로 ①이 옳지 않다."
58,화물운송론,FT06,중,"다음 그림과 같이 동아시아에서 출발한 화물이 해상으로 북미 서안에 도착한 뒤 철도로 북미 대륙을 횡단하고 다시 북미 동안에서 선박으로 유럽까지 운송되는 복합운송방식은?","images/questions/logistics/26회-1/q058.png","IPI(Interior Point Intermodal)","MLB(Mini Land Bridge)","RIPI(Reversed Interior Point Intermodal)","CLB(Canadian Land Bridge)","ALB(American Land Bridge)",5,"ALB는 극동과 유럽 사이의 화물을 미국 대륙을 육상교량처럼 이용하여 연결하는 복합운송방식이다. 일반적으로 태평양 해상운송－미국 대륙횡단철도－대서양 해상운송을 결합하므로 제시된 경로에는 ⑤가 적절하다."
59,화물운송론,FT03,하,"철도운송의 일반적인 특징으로 가장 적절하지 않은 것은?","","장거리·대량화물 운송에서 경제성을 확보하기 유리하다.","별도의 연계운송 없이 출발지부터 최종 고객까지 자유로운 Door-to-Door 서비스를 제공하는 데 가장 유리하다.","정해진 선로를 이용하므로 비교적 계획적인 운송이 가능하다.","자동차운송과 비교하여 대량수송 시 단위당 에너지소비를 줄일 수 있는 장점이 있다.","터미널과 철도망을 중심으로 전국적인 운송네트워크를 형성할 수 있다.",2,"철도는 선로와 터미널을 이용하므로 출발지와 최종 목적지가 철도시설에 직접 연결되지 않은 경우 화물자동차 등 다른 운송수단과의 연계가 필요하다. 따라서 독립적으로 Door-to-Door 서비스에 가장 유리하다는 ②가 적절하지 않다."
60,화물운송론,FT04,중,"해상화물의 운임산정에서 화물의 중량톤과 용적톤을 각각 계산한 뒤 두 값 중 운임수입이 더 크게 산정되는 쪽을 적용하려고 한다. 이에 해당하는 운임톤은?","","Gross Ton(G/T)","Metric Ton(M/T)","Revenue Ton(R/T)","Long Ton(L/T)","Short Ton(S/T)",3,"Revenue Ton은 화물의 중량기준과 용적기준을 비교하여 운임산정에 유리한 기준을 적용하는 운임톤 개념이다. 따라서 제시된 방식에 해당하는 것은 ③이다."
