번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
53,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,중,"다음 중 물류단지 안에서 별도의 허가 없이 할 수 있는 행위는?",,"토지를 분할하는 행위","관상수를 벌채하는 행위","건축법상 가설건축물을 신축하는 행위","건축물의 용도를 변경하는 행위","물류단지로 결정된 부지 안에 물건을 일시 적치하는 행위",5,"법령에서 정한 일정한 행위는 허가 없이 가능하며, 물류단지 예정부지 안에서의 물건 적치는 그 대상에 포함된다."
54,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,중,"물류시설의 개발 및 운영에 관한 법령에서 규정하는 물류단지 관리기구에 해당하지 않는 기관은?",,"한국토지주택공사","한국철도공사","한국도로공사","항만공사","지방공사",2,"관리기구에는 한국토지주택공사, 한국도로공사, 한국수자원공사, 한국농어촌공사, 항만공사, 지방공사 등이 포함되며 한국철도공사는 해당되지 않는다."
55,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,중,"물류시설의 개발 및 운영에 관한 법령상 과태료 부과 대상에 해당하는 것은?",,"등록한 물류창고업의 권리·의무 승계를 신고하지 않은 자","허위 서류로 물류단지 개발사업 시행자 지정을 받은 자","등록하지 않고 복합물류터미널사업을 운영한 자","물류창고업 등록기준을 충족하지 못한 자","공사시행인가 없이 물류단지를 조성한 자",1,"권리·의무 승계 신고 의무를 이행하지 않은 경우는 과태료 부과 대상이다. 허위 지정이나 무등록 사업 등은 과태료가 아니라 등록취소 또는 형사처벌 대상이 될 수 있다."
56,물류관련법규,LR02. 물류시설의 개발 및 운영에 관한 법률,상,"물류 교통·환경 정비지구에 관한 설명으로 옳은 것은?",,"정비지구 지정 신청은 대상 면적이 50만㎡ 이상이어야 가능하다.","둘 이상의 시·군·구에 걸친 경우에는 관계 시장·군수·구청장이 공동으로 지정한다.","정비지구 면적이 100분의 5 미만으로 변경되는 경우에는 주민 의견청취를 생략할 수 있다.","정비지구 지정은 지역물류정책위원회의 심의만 거치면 된다.","국가는 정비지구 안의 모든 물류시설 설치사업에 반드시 재정을 지원하여야 한다.",3,"정비지구 면적의 경미한 변경(100분의 5 미만)은 주민 의견청취 절차를 생략할 수 있다. 나머지 보기들은 지정 절차나 지원 요건을 잘못 설명한 것이다."
57,물류관련법규,LR04. 화물자동차 운수사업법,중,"화주가 함께 탑승하는 화물자동차에서 적재가 허용되지 않는 화물에 해당하는 것은?",,"기계·기구류","건축자재","협오감을 주는 식물","중량 25kg의 일반 화물","용적 5만 세제곱센티미터의 화물",3,"화주 동승 화물은 일정 중량과 용적 기준을 충족해야 하며 기계류와 건축자재는 허용 대상이다. 협오감을 주는 식물은 적재할 수 없는 화물에 해당한다."
58,물류관련법규,LR04. 화물자동차 운수사업법,중,"화물자동차 운송사업의 허가 등에 관한 설명으로 옳은 것은?",,"운송사업자가 차량 대수를 변경하려면 변경허가를 받아야 한다.","개인 운송사업자도 영업소 설치 시 반드시 허가를 받아야 한다.","임시허가를 받은 자가 허가기간 내 위·수탁계약을 체결하지 못한 경우 일정 기간 내 운송사업 허가를 신청할 수 있다.","증차를 수반하는 변경허가에는 조건을 부가할 수 없다.","사업정지 처분 중에도 주사무소 이전 허가를 받을 수 있다.",3,"임시허가를 받은 자는 허가기간 동안 위·수탁계약을 체결하지 못한 경우 법령에서 정한 기간 내 정식 허가를 신청할 수 있다. 나머지 보기는 허가·신고 절차를 잘못 설명하였다."
59,물류관련법규,LR04. 화물자동차 운수사업법,중,"화물자동차 운송사업자의 운송약관에 관한 설명으로 옳지 않은 것은?",,"운송약관 변경신고 결과는 일정 기간 내 신청인에게 통지하여야 한다.","운송약관은 영업소 등에 비치하여 이용자가 요구하면 열람할 수 있어야 한다.","운송약관에는 운송책임의 시작 시점과 종료 시점을 포함하여야 한다.","공정거래위원회는 표준 운송약관을 작성하여 사용을 권장할 수 있다.","운송약관 신고는 협회가 아닌 경우에는 대리 신청을 할 수 없다.",5,"운송약관 신고는 적법한 대리인을 통하여도 가능하며 협회만 대리할 수 있는 것은 아니다."
60,물류관련법규,LR04. 화물자동차 운수사업법,중,"다음 중 화물자동차 운송사업 허가 결격사유에 해당하지 않는 사람은?",,"파산선고를 받고 복권되지 않은 사람","관련 법령 위반으로 징역형 집행유예 기간 중인 사람","거짓이나 부정한 방법으로 허가를 받아 취소된 후 일정 기간이 지나지 않은 사람","허가취소 후 법정 제한기간이 경과하지 않은 사람","과거 허가가 취소되었으나 법정 제한기간이 모두 지난 사람",5,"허가취소 이후 법령에서 정한 제한기간이 모두 경과하였다면 결격사유에서 제외된다. 나머지 보기들은 모두 결격사유에 해당한다."
61,물류관련법규,LR04. 화물자동차 운수사업법,중,"화물자동차 운송주선사업에 관한 설명으로 옳은 것은?",,"운송 중 손해배상은 민법 규정만 적용된다.","운송가맹사업 허가를 받은 자는 별도의 운송주선사업 허가 없이 운송주선사업을 할 수 있다.","주사무소 외 장소에서 영업하려면 신고만 하면 된다.","자기 명의를 다른 사람에게 빌려 운송주선사업을 하게 할 수 있다.","운송주선사업자는 운송을 알선하면서 별도의 수수료를 받을 수 없다.",2,"화물자동차 운송가맹사업 허가를 받은 자는 별도의 운송주선사업 허가 없이 운송주선사업을 할 수 있다. 나머지 보기는 관련 규정을 잘못 설명한 것이다."
62,물류관련법규,LR04. 화물자동차 운수사업법,중,"다음 중 운송가맹사업자의 변경신고 대상에 해당하는 사항만을 모두 고른 것은?",images/questions/logistics/29회-2/q062.png,"ㄱ, ㄴ","ㄱ, ㄷ","ㄴ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄷ, ㄹ",4,"화물취급소의 설치·폐지, 주사무소의 이전, 운송가맹계약의 체결·변경·해제 또는 해지는 운송가맹사업자의 변경신고 대상이다. 상호의 변경은 이 문제에서 제시한 변경신고 대상에 해당하지 않는다. 따라서 해당하는 것은 ㄱ, ㄴ, ㄷ이다."
63,물류관련법규,LR04. 화물자동차 운수사업법,중,"운송사업자에게 명할 수 있는 개선명령의 내용으로 보기 어려운 것은?",,"운송시설의 개선","화물 안전운송을 위한 조치","운송약관의 변경","의무보험 가입","차량 연료 종류 변경",5,"법령에서 규정한 개선명령에는 운송시설 개선, 운송약관 변경, 안전조치, 의무보험 가입 등이 포함되지만 차량 연료 변경은 포함되지 않는다."
64,물류관련법규,LR04. 화물자동차 운수사업법,중,"적재물배상 책임보험 등에 관한 설명으로 옳지 않은 것은?",,"운송사업자는 사업자별로 보험에 가입하면 된다.","운송가맹사업자도 보험 가입 대상이다.","이사화물을 취급하는 운송주선사업자도 보험 가입 대상이다.","보험 종료 통지에는 무보험 상태에 대한 안내를 포함하여야 한다.","보험회사는 재계약이 이루어지지 않은 경우 이를 관계 기관에 알려야 한다.",1,"운송사업자는 사업자별이 아니라 차량별 가입이 원칙이다."
65,물류관련법규,LR04. 화물자동차 운수사업법,중,"화물자동차 운송사업의 경영 위탁에 관한 설명으로 옳은 것은?",,"경영 전부를 다른 사람에게 위탁할 수 있다.","허가권자는 경영 위탁을 제한할 수 없다.","위·수탁계약에는 운수종사자 교육에 관한 사항을 포함하여야 한다.","위·수탁계약 기간은 반드시 3년 이상이어야 한다.","실태조사는 시·군·구청장이 연 2회 실시한다.",3,"위·수탁계약에는 운수종사자 교육 등 필요한 사항을 포함하여야 하며, 다른 보기는 법령과 다르다."
66,물류관련법규,LR04. 화물자동차 운수사업법,중,"화물자동차 운송사업 종사자의 준수사항이 아닌 것은?",,"적재물이 떨어지지 않도록 필요한 조치를 할 것","택시와 혼동될 수 있는 표시행위를 하지 말 것","고장 차량 운송과 관련하여 부정한 금품을 주고받지 말 것","승인받지 않은 튜닝 차량을 운행하지 말 것","장시간 정차하여 화주를 호객하지 말 것",4,"승인받지 않은 튜닝 차량 운행 금지는 운송사업자의 준수사항이며 운수종사자의 준수사항은 아니다."
67,물류관련법규,LR03. 유통산업발전법,중,"유통상생발전협의회에 관한 설명으로 옳은 것은?",,"위원 임기는 1년이다.","위원 수는 회장을 포함하여 10명 이내이다.","회장은 해당 지방자치단체장이 된다.","회의는 매월 개최하여야 한다.","지역 주민단체 대표가 위원으로 위촉될 수 있다.",5,"주민단체 대표 등 다양한 분야의 인사를 협의회 위원으로 위촉할 수 있다. 나머지 보기들은 구성 및 운영 기준과 다르다."
68,물류관련법규,LR03. 유통산업발전법,중,"다음 자료의 (가), (나), (다)에 들어갈 수치를 순서대로 올바르게 연결한 것은?",images/questions/logistics/29회-2/q068.png,"3-2-1","2-1-1","3-2-2","5-3-2","5-3-3",1,"공동집배송센터는 부지면적이 3만㎡ 이상이어야 한다. 다만 상업지역 또는 공업지역에서는 부지면적이 2만㎡ 이상이어야 하며, 집배송시설면적은 1만㎡ 이상이어야 한다. 따라서 (가), (나), (다)는 각각 3, 2, 1이다."
69,물류관련법규,LR03. 유통산업발전법,중,"유통산업발전법상 유통분쟁조정위원회의 조정 대상에 해당하지 않는 것은?",,"대규모점포와 인근 중소제조업체 간 영업활동 분쟁","대규모점포 운영으로 인한 주민 생활환경 분쟁","대규모점포 운영자의 소비자 안전관리와 관련된 분쟁","대규모점포 운영자의 상생협력 추진과 관련된 분쟁","독점규제 및 공정거래 관련 법률이 적용되는 영업활동 분쟁",5,"공정거래 관련 법률이 직접 적용되는 사안은 유통분쟁조정위원회의 조정 대상에서 제외된다."
70,물류관련법규,LR03. 유통산업발전법,중,"대규모점포 등록 시 제출하는 상권영향평가서의 필수 기재사항이 아닌 것은?",,"상권영향분석의 범위","상권의 특성","재무계획","요약","기존 사업자 현황 분석",3,"재무계획은 사업계획서에 해당하는 내용이며 상권영향평가서의 필수 기재사항은 아니다."
71,물류관련법규,LR03. 유통산업발전법,중,"유통산업발전법상 상점가진흥조합에 관한 설명으로 옳은 것은?",,"조합은 협동조합 형태로만 설립할 수 있다.","조합 구역은 다른 상점가진흥조합과 중복 지정될 수 있다.","상점가진흥조합은 협동조합 또는 사업조합의 형태로 설립할 수 있다.","조합원의 임기는 모두 1년이다.","공공시설 설치사업은 지방자치단체의 지원 대상이 아니다.",3,"상점가진흥조합은 협동조합 또는 사업조합 형태로 설립할 수 있다."
72,물류관련법규,LR06. 항만운송사업법,하,"항만운송관련사업에 해당하지 않는 것은?",,"항만용역업","선용품공급업","선박연료공급업","컨테이너수리업","선적화물검수업",5,"선적화물검수업은 항만운송사업에 해당하며 항만운송관련사업으로 분류되지 않는다."
73,물류관련법규,LR06. 항만운송사업법,중,"항만운송사업법상 부두운영회사에 관한 설명으로 옳은 것은?",,"항만시설 사용료는 감면할 수 없다.","임대료를 2개월 이상 연체하면 계약을 반드시 해지하여야 한다.","계약 연장 신청은 계약 종료 3개월 전까지 해야 한다.","화물유치 실적이 부족하면 사유와 관계없이 위약금을 부과한다.","항만공사와 임대차계약을 체결하여 지정된 항만시설을 사용하는 자는 부두운영회사에 해당하지 않는다.",5,"항만공사와 단순 임대차계약을 체결하여 시설을 사용하는 자는 부두운영회사로 보지 않는다."
74,물류관련법규,LR06. 항만운송사업법,중,"다음 중 항만운송사업이 아닌 행위는?",,"선박으로 운송된 화물을 부두에서 선박으로 옮기는 작업","선박에서 사용하는 물품을 공급하기 위해 운송하는 작업","선박에서 내린 화물을 하역장으로 운반하는 작업","항만에서 목재를 뗏목으로 운송하는 작업","수면 목재적치장으로 목재를 이동시키는 작업",2,"선박용 물품을 공급하기 위한 운송은 항만운송관련사업에 해당하며 항만운송사업으로 보지 않는다."
75,물류관련법규,LR05. 철도사업법,중,"철도사업법상 부가 운임에 관한 설명이다. 빈칸에 들어갈 수를 올바르게 연결한 것은?",images/questions/logistics/29회-2/q075.png,"ㄱ:20, ㄴ:5","ㄱ:20, ㄴ:10","ㄱ:30, ㄴ:5","ㄱ:30, ㄴ:10","ㄱ:30, ㄴ:15",3,"무임승차 시에는 해당 운임의 30배 범위까지, 송하인의 허위신고로 운임이 부족한 경우에는 부족 운임의 5배 범위까지 부가운임을 징수할 수 있다."
76,물류관련법규,LR05. 철도사업법,중,"철도사업법상 철도사업의 관리에 관한 설명으로 옳지 않은 것은?",,"공동운수협정의 경미한 변경은 신고 대상이 될 수 있다.","공동운수협정을 체결하거나 변경하려면 국토교통부장관의 인가가 필요하다.","철도사업자의 합병은 인가 대상이다.","사업계획 중 여객열차 운행구간 변경은 인가 대상이다.","선로나 교량의 파괴 등으로 휴업하는 경우 휴업기간은 6개월을 초과할 수 있다.",5,"재해 등에 따른 휴업이라 하더라도 법령상 허용 범위를 초과하여 휴업할 수는 없다."
77,물류관련법규,LR05. 철도사업법,중,"철도사업법상 신고 대상에 해당하는 경우만을 모두 고른 것은?",images/questions/logistics/29회-2/q077.png,"ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ, ㅁ","ㄱ, ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ, ㄹ, ㅁ",4,"전용철도의 양도·양수, 일부 휴업, 전부 폐업, 상속에 따른 계속운영은 신고 대상이며 점용허가로 발생한 권리·의무 이전은 인가 대상이다."
78,물류관련법규,LR05. 철도사업법,하,"국유철도시설을 점용허가 없이 사용한 자에게 국토교통부장관이 부과할 수 있는 것은?",,"과태료","점용료","변상금","과징금","이행강제금",3,"무단 점용 시에는 점용료와는 별도로 변상금을 징수할 수 있다."
79,물류관련법규,LR07. 농수산물 유통 및 가격안정에 관한 법률,중,"농수산물도매시장에 관한 설명으로 옳지 않은 것은?",,"지방도매시장을 개설하려면 시·도지사의 허가를 받아야 한다.","도매시장법인이 변경되는 경우에는 관계 규정에 따라 승인 절차를 거쳐야 한다.","중앙도매시장에는 농산물과 수산물 모두에 도매시장법인을 둘 수 있다.","지방도매시장의 개설구역은 일정 범위에서 조정될 수 있다.","지방도매시장 개설자가 업무규정을 변경하는 경우에는 승인 절차가 필요하다.",3,"중앙도매시장의 도매시장법인은 품목별로 지정되므로 농산물과 수산물을 하나의 법인이 동시에 담당하는 것은 아니다."
80,물류관련법규,LR07. 농수산물 유통 및 가격안정에 관한 법률,중,"농수산물공판장에 관한 설명으로 옳지 않은 것은?",,"공판장을 개설하려면 승인 절차가 필요하다.","교통 혼잡을 유발할 우려가 있는 장소는 승인 제한 사유가 될 수 있다.","공판장의 중도매인은 개설자가 지정한다.","공판장에는 경매사 등을 둘 수 있다.","농협의 유통자회사는 공판장을 운영할 수 없다.",5,"농협의 유통자회사는 법령에 따라 도매시장 공판장을 운영할 수 있다."
