번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
36,물류관리론,LM04,중,물류정보의 특성에 관한 설명으로 가장 적절하지 않은 것은?,,운송·보관·하역·포장 등 여러 물류활동을 연결하고 조정하는 데 활용된다.,상품의 이동정보뿐 아니라 주문·재고·배송 등 다양한 정보를 포함할 수 있다.,정보기술의 활용은 물류정보의 신속성과 정확성을 높이는 데 기여할 수 있다.,물동량이 크게 변하는 성수기와 비수기에도 물류정보의 발생량과 처리량은 거의 변하지 않는 것이 일반적이다.,효율적인 물류정보관리는 물자의 흐름과 정보의 흐름을 연계하는 데 중요하다.,4,물류정보의 발생량과 처리량은 주문량과 물동량의 영향을 받는다. 따라서 성수기와 비수기의 물동량 차이가 크면 주문·재고·배송 등 관련 정보량에도 상당한 차이가 발생할 수 있다.
37,물류관리론,LM04,하,소매점에서 상품이 판매되는 순간 상품코드·판매수량·가격 등의 정보를 자동으로 기록하고 매출집계와 재고관리 등에 활용하는 정보시스템은?,,POS(Point of Sale),GPS(Global Positioning System),EDI(Electronic Data Interchange),DPS(Digital Picking System),WMS(Warehouse Management System),1,POS는 상품이 판매되는 시점에서 상품코드·판매수량·가격 등의 정보를 수집하고 처리하는 판매시점정보관리시스템이다. 수집된 판매정보는 매출집계뿐 아니라 발주와 재고관리 등에도 연계하여 활용할 수 있다.
38,물류관리론,LM04,중,능동형 RFID(Active RFID)에 관한 설명으로 가장 적절하지 않은 것은?,,태그 자체에 전원을 공급하기 위한 배터리를 내장할 수 있다.,자체 전원을 이용하므로 수동형 RFID에 비해 비교적 먼 거리에서 정보를 송수신할 수 있다.,센서 등과 결합하여 물류자산의 상태정보를 관리하는 데 활용할 수 있다.,일반적으로 수동형 RFID보다 태그의 구조가 복잡하고 가격이 높을 수 있다.,내장 배터리는 판독기의 전파로 자동 충전되므로 별도의 수명제한 없이 계속 사용할 수 있다.,5,능동형 RFID는 자체 전원을 사용하기 때문에 비교적 먼 거리에서 통신할 수 있지만 배터리의 수명이 존재한다. 따라서 판독기의 전파로 배터리가 자동 충전되어 수명제한 없이 계속 사용할 수 있다는 설명은 적절하지 않다.
39,물류관리론,LM04,상,GTIN-13 상품식별코드의 앞 12자리가 880123456789로 주어졌다. 왼쪽 첫째 자리부터 홀수 자리 숫자의 합과 짝수 자리 숫자의 합에 3을 곱한 값을 더한 후 체크 디지트를 더하여 10의 배수가 되도록 할 때 체크 디지트는?,,0,1,3,5,7,3,홀수 자리 숫자의 합은 8+0+2+4+6+8=28이고 짝수 자리 숫자의 합은 8+1+3+5+7+9=33이다. 28+33×3=127이므로 10의 배수가 되기 위해 더해야 하는 체크 디지트는 3이다.
40,물류관리론,LM04,하,기업 간 주문서·송장·출하정보와 같은 거래문서를 미리 정한 표준형식에 따라 컴퓨터 사이에서 전자적으로 주고받는 시스템은?,,ERP(Enterprise Resource Planning),EDI(Electronic Data Interchange),RFID(Radio Frequency Identification),GPS(Global Positioning System),POS(Point of Sale),2,EDI는 거래기업 사이에서 주문서·송장·출하정보 등 각종 거래문서를 표준화된 전자문서 형식으로 컴퓨터 간 교환하는 방식이다. 종이문서의 반복입력과 처리오류를 줄이고 거래처리의 신속성과 정확성을 높일 수 있다.
41,화물운송론,FT01,중,운송수단의 일반적인 특성을 고려할 때 다음 설명으로 가장 적절한 것은?,,철도운송은 초기 시설투자가 거의 필요하지 않고 단거리 문전운송에 가장 유리하다.,연안운송은 터미널 하역이 거의 필요하지 않아 단거리 소량화물 운송에 특히 유리하다.,항공운송은 운임부담이 비교적 크지만 신속성이 높아 장거리의 고가·긴급화물 운송에 유리하다.,공로운송은 1회 대량수송 능력이 가장 크기 때문에 장거리 벌크화물 운송에서 해상운송보다 유리하다.,해상운송은 정기선만 이용할 수 있으므로 화물수요에 맞춘 부정기선 운송은 할 수 없다.,3,항공운송은 운송비가 높은 편이지만 신속성과 장거리 운송능력이 뛰어나 고가품·긴급화물 등에 적합하다. 철도는 대량·장거리 운송에 유리하지만 대규모 기반시설이 필요하고 공로는 접근성과 문전운송에 강점이 있다. 해상운송에는 정기선과 부정기선이 모두 활용될 수 있다.
42,화물운송론,FT01,중,최근 화물운송산업의 변화에 관한 설명으로 가장 적절한 것은?,,탄소비용이 상승하면 운송거리와 화물특성에 관계없이 항공운송의 시장점유율이 반드시 높아진다.,물류거점이 대형화되면 특정 거점의 장애가 공급망 전체에 미치는 영향은 줄어든다.,실시간 화물추적 기술이 확산되면 공급망 가시성을 관리할 필요가 없어진다.,친환경 규제와 공급망 위험의 증가는 철도·연안운송의 활용과 복수 운송경로 확보를 촉진할 수 있다.,공급중단 위험이 커질수록 기업은 공급처를 최저가격의 한 곳으로 집중하는 것이 유리하다.,4,탄소배출 규제와 공급망 불확실성이 커지면 기업은 적합한 구간에서 철도·연안운송을 활용하고 공급처와 운송경로를 분산하려 한다. 디지털 추적기술은 공급망 가시성의 필요성을 없애는 것이 아니라 높이는 수단이다.
43,화물운송론,FT01,중,당일 운송에 투입하지 못한 화물차의 적재공간을 다음 날을 위해 보관해 둘 수 없는 운송서비스의 특성은?,,파생수요성,방향불균형성,규모의 경제성,불가분성,비저장성,5,운송서비스의 공급능력은 사용하지 않았더라도 재고처럼 저장하여 나중에 판매할 수 없다. 이를 비저장성 또는 소멸성이라고 한다.
44,화물운송론,FT08,중,같은 산업단지의 세 화주가 동일한 권역으로 소량화물을 각각 보내고 있다. 차량 적재율을 높이고 중복운행을 줄이는 방안으로 가장 적절한 것은?,,화주별 출발횟수를 늘리고 출하량을 더 작은 단위로 나눈다.,여러 화주의 화물을 집약하여 공동수배송 차량을 운영한다.,각 화주가 낮은 적재율의 전용차량을 추가로 확보한다.,배송 후 회수화물 탐색 없이 모든 차량을 공차로 복귀시킨다.,화주마다 별도의 중계터미널을 같은 지역에 설치한다.,2,공동수배송은 여러 화주의 소량화물을 집약하여 차량 적재율을 높이고 중복노선과 공차운행을 줄이는 운송합리화 방안이다.
45,화물운송론,FT01,하,화물운송이 수행하는 기본적인 기능으로 가장 적절한 것은?,,재화를 한 장소에서 다른 장소로 이동시켜 공간적 효용을 창출한다.,상품을 일정기간 저장하여 생산시점과 소비시점의 차이를 조정한다.,상품의 소유권을 판매자로부터 구매자에게 이전한다.,원재료를 가공하여 상품의 형태적 효용을 창출한다.,과거 판매자료를 이용하여 미래의 수요량을 예측한다.,1,운송의 가장 기본적인 기능은 재화를 필요한 장소로 이동시켜 공간적 효용을 창출하는 것이다. 시간적 효용은 주로 보관기능과 관련되고 소유권 이전은 거래기능이며 형태적 효용은 생산·가공활동과 관련된다.
46,화물운송론,FT01,중,물류와 운송의 관계에 관한 설명으로 가장 적절한 것은?,,물류와 운송은 동일한 개념이므로 보관이나 하역은 물류활동에 포함되지 않는다.,운송은 물류보다 넓은 개념으로 구매·생산·재고·정보관리까지 모두 포함한다.,운송은 물류의 핵심 기능 중 하나이며 현대 물류는 운송뿐 아니라 보관·하역·포장·정보·주문처리 등의 활동을 통합적으로 관리한다.,운송은 상품의 물리적 이동만을 의미하므로 물류비 절감이나 고객서비스 수준과는 관계가 없다.,현대 물류에서는 운송기능의 비중이 감소하여 공급사슬관리와 운송 사이의 연계가 거의 사라졌다.,3,운송은 물류의 핵심적인 기능이지만 물류 전체와 동일한 개념은 아니다. 현대 물류는 운송·보관·하역·포장·재고·정보·주문처리 등을 통합하여 전체 물류비와 고객서비스를 관리한다.
47,화물운송론,FT01,중,기업이 장거리 구간의 탄소배출과 도로혼잡을 줄이면서 출발지와 도착지의 문전운송을 유지하려 한다. 가장 적절한 운송방식은?,,전 구간을 소형 화물자동차만으로 여러 차례 운송한다.,전 구간을 항공운송으로 전환하고 공항 하역은 생략한다.,간선구간은 철도를 이용하고 양 끝 구간은 화물자동차로 연결한다.,항만과 연결되지 않은 내륙 목적지까지 연안선박만으로 직송한다.,자가용 화물자동차의 보유대수만 늘리고 운송경로는 유지한다.,3,철도와 화물자동차를 연계하면 장거리 간선구간에서는 철도의 대량수송 장점을 활용하고 양 끝 구간에서는 화물자동차의 문전운송 기능을 활용할 수 있다.
48,화물운송론,FT08,하,물류활동과 운송의 합리화를 설명하는 3S1L 원칙의 구성으로 옳은 것은?,,신속성(Speedy)·확실성(Surely)·안전성(Safely)·저비용(Low Cost),신속성(Speedy)·표준성(Standard)·안전성(Safely)·저비용(Low Cost),확실성(Surely)·대체성(Substitutability)·정확성(Accuracy)·저비용(Low Cost),신속성(Speedy)·확실성(Surely)·정확성(Accuracy)·대형화(Large Scale),안전성(Safely)·표준성(Standard)·신뢰성(Reliability)·저재고(Low Inventory),1,3S1L은 필요한 화물을 신속하게(Speedy) 확실하게(Surely) 안전하게(Safely) 그리고 낮은 비용(Low Cost)으로 운송하는 것을 의미한다.
49,화물운송론,FT02,중,적재중량은 기준의 110% 이내이고 적재상태의 길이는 자동차 길이의 110% 이내이며 승차인원은 승차정원 이내이고 높이는 지상 4.0m 이내여야 한다. 최대 적재량 10톤·자동차 길이 10m·승차정원 2명인 화물자동차가 이 기준을 모두 충족하는 것은? 단 화물의 너비는 모두 후사경으로 뒤쪽을 확인할 수 있는 범위이다.,,적재중량 10.8톤·길이 10.9m·승차인원 3명·높이 3.9m,적재중량 10.9톤·길이 10.8m·승차인원 2명·높이 3.9m,적재중량 11.2톤·길이 10.8m·승차인원 2명·높이 3.8m,적재중량 10.8톤·길이 11.2m·승차인원 2명·높이 3.9m,적재중량 10.7톤·길이 10.8m·승차인원 2명·높이 4.2m,2,허용범위는 적재중량 11톤 이하·길이 11m 이하·승차인원 2명 이하·높이 4.0m 이하이다. 모든 조건을 충족하는 것은 ②이다.
50,화물운송론,FT02,중,화물자동차 운송가맹사업의 운영방식에 관한 설명으로 가장 적절한 것은?,,가맹사업자는 운송에 참여하는 모든 차량을 직접 소유해야 한다.,가맹사업자는 화물정보망을 활용하여 가맹점의 차량과 화물정보를 연계하고 운송서비스를 조직할 수 있다.,가맹점은 가맹사업자의 정보망을 이용할 수 없고 개별적으로만 화물을 확보해야 한다.,운송가맹사업은 화물운송을 중개할 수 없고 차량 정비서비스만 제공하는 사업이다.,가맹사업자는 여객자동차만을 이용하여 화물운송 네트워크를 구성해야 한다.,2,운송가맹사업은 가맹사업자의 정보망과 가맹점의 차량을 연계하여 운송서비스를 조직하는 방식이다. 참여 차량을 가맹사업자가 모두 직접 소유해야 하는 것은 아니다.
51,화물운송론,FT02,하,화물자동차의 하역작업을 합리화하기 위하여 차량 뒤쪽 등에 승강장치를 설치해 화물을 지면과 적재함 사이에서 쉽게 상·하차할 수 있도록 한 차량은?,,냉동탑차,리프트게이트 부착차량,탱크로리,분립체 운송차,믹서트럭,2,리프트게이트 부착차량은 적재함에 승강장치를 설치하여 화물을 지면과 적재함 사이에서 쉽게 이동시킬 수 있도록 한 합리화 특장차이다. 상·하차 작업의 인력부담과 시간을 줄이는 데 활용된다.
52,화물운송론,FT02,중,운송회사가 상용차의 위치·운행기록·운전자 상태를 실시간으로 수집하여 안전운행을 지원하고 차량 운영을 통합 관리하려 한다. 가장 관련이 깊은 시스템은?,,WMS(Warehouse Management System),OMS(Order Management System),VMS(Vanning Management System),CVO(Commercial Vehicle Operation),POS(Point of Sale),4,CVO는 상용차의 위치와 운행상태 등을 정보통신기술로 관리하여 차량운영의 효율성과 안전성을 높이는 체계이다. WMS는 창고관리이며 Vanning Management System은 화물의 차량 적재계획과 관련된다.
53,화물운송론,FT02,중,자가용 화물자동차를 운행하면 하루 고정비 180000원과 주행거리 1km당 변동비 400원이 발생한다. 사업용 화물자동차를 이용하면 1km당 1000원을 지급한다. 하루 운송거리가 400km일 때 비용 비교로 옳은 것은?,,자가용이 사업용보다 60000원 저렴하다.,사업용이 자가용보다 60000원 저렴하다.,두 방식의 비용이 같다.,자가용이 사업용보다 160000원 저렴하다.,주행거리만으로는 두 방식의 비용을 비교할 수 없다.,1,자가용 비용은 180000+400×400=340000원이고 사업용 비용은 1000×400=400000원이다. 따라서 자가용이 60000원 저렴하다.
54,화물운송론,FT01,중,한 화물의 중량운임은 1kg당 900원이고 최저운임은 20000원이다. 별도의 할증이나 할인 없이 18kg을 운송할 때 적용할 운임과 부과방식의 연결로 옳은 것은?,,16200원·실제 계산운임,18000원·거리운임,20000원·최저운임,36000원·종가운임,운임 산정 불가·특별운임,3,중량에 따른 계산운임은 18×900=16200원이다. 계산운임이 최저운임 20000원보다 낮으므로 실제 부과운임은 20000원이다.
55,화물운송론,FT02,하,전자부품을 빗물과 먼지로부터 보호하면서 팔레트 단위로 배송하려 한다. 적재공간이 상자형 덮개로 밀폐된 차량으로 가장 적절한 것은?,,덤프트럭,평바디 트럭,탱크로리,밴형 화물자동차,믹서트럭,4,밴형 화물자동차는 상자형 적재공간을 갖추어 비·바람과 먼지로부터 화물을 보호할 수 있으므로 공산품과 택배화물 운송에 적합하다.
56,화물운송론,FT08,중,배송처와 배송량이 거의 일정하고 매일 같은 순서로 고객을 방문하면 관리가 쉬운 상황에 가장 적합한 배송방식은?,,고정루트 배송,변동다이어그램 배송,긴급직송 배송,무계획 순회배송,항공 연계배송,1,배송처와 물동량이 안정적이면 미리 정한 방문순서와 시간에 따라 운행하는 고정루트 배송이 적합하다. 변동다이어그램 배송은 배송처나 물동량의 변화가 큰 경우에 이용한다.
57,화물운송론,FT03,중,동일한 화물 1톤을 운송할 때 화물자동차의 운송비는 75원/ton·km이고 철도운송의 운송비는 45원/ton·km이다. 철도운송을 선택하면 터미널 처리비와 하역비 등 12000원/ton의 추가 고정비가 발생한다. 두 운송수단의 총비용이 같아지는 경제적 효율거리는?,,250km,300km,350km,375km,400km,5,화물자동차 비용은 75D이고 철도비용은 12000+45D이다. 75D=12000+45D에서 30D=12000이므로 D=400km이다.
58,화물운송론,FT03,중,도로에서 운행하던 세미트레일러를 트랙터와 분리한 뒤 철도 플랫카에 적재하여 운송하는 방식은?,,COFC(Container on Flat Car),TOFC(Trailer on Flat Car),Block Train,LASH(Lighter Aboard Ship),Ro-Ro(Roll-on/Roll-off),2,TOFC는 도로용 세미트레일러를 철도 플랫카에 적재하여 운송하는 피기백 방식이다. COFC는 컨테이너 자체를 플랫카에 적재하는 방식이다.
59,화물운송론,FT03,중,일반 철도화물은 계산된 기본운임이 사용 화차의 표기하중톤수와 100km에 해당하는 운임보다 낮으면 그 금액을 최저운임으로 적용한다. 표기하중 50톤인 화차에 화물 38톤을 싣고 72km를 운송한 경우 최저운임의 산정기준은?,,실제 적재량 38톤과 실제거리 72km,표기하중 50톤과 실제거리 72km,표기하중 50톤과 기준거리 100km,실제 적재량 38톤과 기준거리 100km,표기하중 50톤과 기준거리 200km,3,제시된 최저운임 기준은 실제 적재량이나 실제 운송거리가 아니라 화차표기하중 50톤과 기준거리 100km에 해당하는 운임이다.
60,화물운송론,FT03,중,철도화물 서비스 중 중간의 스위칭야드에서 화차를 재조성하지 않고 출발지에서 도착지까지 직행하는 전용열차 형태로 가장 적절한 것은?,,Single-Wagon Train,Liner Train,Y-Shuttle Train,Shuttle Train,Block Train,5,Block Train은 중간 스위칭야드에서 화차를 분류·재조성하지 않고 출발지에서 목적지까지 직행하는 전용열차 형태이다. 중간 조차작업을 줄여 운송시간과 터미널 처리비용을 절감할 수 있다.
61,화물운송론,FT04,중,화주가 매주 일정량의 컨테이너화물을 부산항에서 로스앤젤레스항으로 보내려 한다. 선박 전체를 빌릴 정도의 물량은 아니며 공표된 운항일정에 따라 반복적으로 선적하려는 경우 가장 적합한 운송형태는?,,항해용선,정기용선,정기선 운송,나용선,부정기선 운송,3,정기선은 정해진 항로와 운항일정에 따라 반복적으로 운항하며 여러 화주의 개별화물을 운송한다. 선박 전체의 선복을 계약할 필요가 없는 컨테이너 정기출하에 적합하다.
62,화물운송론,FT04,하,정기선 운임조건에서 Liner Term을 적용할 때 본선의 적재비와 양하비를 부담하는 주체로 가장 적절한 것은?,,적재비와 양하비 모두 화주가 부담한다.,적재비는 선사가 부담하고 양하비는 수하인이 부담한다.,적재비와 양하비 모두 선사가 부담한다.,적재비는 송화인이 부담하고 양하비는 선사가 부담한다.,항만당국이 두 비용을 모두 부담한다.,3,Liner Term은 해상운임에 본선 적재비와 양하비가 포함되는 조건이므로 두 비용을 선사가 부담한다. 화물의 위험이 이전되는 시점과는 구분하여 이해해야 한다.
63,화물운송론,FT04,중,여러 정기선사가 선박을 공동 배치하고 선복을 공유하지만 각 회사의 법적 독립성과 운임결정권은 유지하려 한다. 이에 가장 가까운 협력형태는?,,해운동맹(Shipping Conference),전략적 해운제휴(Shipping Alliance),부정기선 운항풀(Tramp Pool),항해용선 중개(Voyage Brokerage),연안운송 제한(Cabotage),2,전략적 해운제휴는 회원선사가 선박과 항로망을 공동 활용하면서도 개별 회사의 독립성과 영업활동을 유지하는 협력형태이다. 공동운임을 중심으로 하는 전통적 해운동맹과 구별된다.
64,화물운송론,FT04,중,선주가 선장과 선원을 배치하고 선박의 정비와 보험을 담당한다. 용선자는 6개월 동안 선박을 사용하면서 연료비와 항비를 부담한다. 이에 해당하는 계약은?,,항해용선계약,나용선계약,운송주선계약,정기용선계약,개품운송계약,4,정기용선에서는 선주가 선장·선원과 선박의 기술적 관리를 담당하고 용선자는 약정기간 동안 선박을 사용하면서 연료비와 항비 등 운항 관련 비용을 부담하는 것이 일반적이다.
65,화물운송론,FT05,중,항공화물 혼재운송에서 포워더가 여러 화주의 화물을 모아 항공사에 한 건으로 위탁하는 경우 MAWB와 HAWB의 관계로 옳은 것은?,,항공사는 각 화주에게 MAWB를 발행하고 포워더는 서류를 발행하지 않는다.,항공사는 포워더에게 MAWB를 발행하고 포워더는 개별 화주에게 HAWB를 발행한다.,포워더는 항공사에 HAWB를 발행하고 항공사는 수하인에게 MAWB를 발행한다.,MAWB와 HAWB는 모두 세관만 발행할 수 있다.,두 운송장은 동일한 당사자 사이에서 반드시 한 장으로 통합된다.,2,혼재운송에서는 항공사가 포워더에게 Master Air Waybill을 발행하고 포워더가 개별 화주에게 House Air Waybill을 발행한다.
66,화물운송론,FT05,중,항공화물 운임에서 일반화물요율(GCR: General Cargo Rate)에 관한 설명으로 가장 적절한 것은?,,특정품목할인요율(SCR)이나 품목분류요율(CCR)의 적용대상이 아닌 일반 항공화물에 기본적으로 적용되는 요율이다.,화물의 품목과 중량에 관계없이 전 세계 모든 노선에 동일하게 적용되는 고정요율이다.,특정 대형화물에 대해서만 운송구간과 최저중량을 지정하여 적용하는 할인요율이다.,특정 품목에 대해 일반화물요율에서 일정률을 할인하거나 할증하는 품목분류요율을 의미한다.,일반화물요율의 최저운임은 항공운송장에서 숫자 0으로 표시한다.,1,일반화물요율(GCR)은 특정품목할인요율(SCR)이나 품목분류요율(CCR)이 적용되지 않는 일반적인 항공화물에 적용되는 기본요율이다. 특정품목에 특별한 조건으로 적용되는 요율과는 구별된다.
67,화물운송론,FT06,중,운송주선인이 자기 명의의 선하증권을 발행하고 화주에게 전 구간 운송책임을 부담하면서 실제 운송은 선사에 맡겼다. 이 운송주선인의 지위로 가장 적절한 것은?,,단순 통관대리인,실제 해상운송인,항만하역업자,계약운송인 또는 NVOCC,선박관리인,4,자기 명의의 운송서류를 발행하고 화주에게 운송책임을 부담하는 운송주선인은 계약운송인으로 기능한다. 해상구간에서는 선박을 직접 운항하지 않는 NVOCC의 지위를 가질 수 있다.
68,화물운송론,FT08,상,다음 수송문제에 보겔추정법(Vogel's Approximation Method)을 적용할 때 최초해의 총 운송비와 공급지 B에서 수요지 X로 배정되는 수송량의 조합으로 옳은 것은? 공급량은 A=150톤·B=250톤·C=200톤이고 수요량은 X=300톤·Y=150톤·Z=150톤이다. 톤당 운송비는 A→X 8천원·A→Y 14천원·A→Z 20천원·B→X 6천원·B→Y 10천원·B→Z 15천원·C→X 12천원·C→Y 9천원·C→Z 7천원이다.,,4400천원 / 100톤,4600천원 / 150톤,4750천원 / 150톤,4600천원 / 200톤,4900천원 / 100톤,2,보겔추정법을 적용하면 C→Z에 150톤·A→X에 150톤·B→X에 150톤·B→Y에 100톤·C→Y에 50톤을 배정한다. 총 운송비는 150×7+150×8+150×6+100×10+50×9=4600천원이며 B→X 배정량은 150톤이다.
69,화물운송론,FT08,하,공급량과 수요량은 주어졌지만 셀별 단위수송비가 아직 산정되지 않았다. 비용정보 없이도 수송표의 왼쪽 위부터 공급량과 수요량만으로 최초 실행가능해를 구할 수 있는 방법은?,,북서코너법,최소비용법,보겔추정법,MODI법,디딤돌법,1,북서코너법은 단위수송비를 고려하지 않고 수송표의 왼쪽 위에서 시작하여 공급량과 수요량에 맞춰 배정한다. 최소비용법과 보겔추정법은 비용정보가 필요하다.
70,화물운송론,FT06,하,국제운송주선인이 여러 화주의 소량 컨테이너화물을 모아 하나의 컨테이너로 구성한 뒤 목적지에서 다시 여러 수하인에게 분배하는 혼재방식은?,,Buyer’s Consolidation,Shipper’s Association Consolidation,Forwarder’s Consolidation,Direct Shipment,Full Container Direct Service,3,Forwarder’s Consolidation은 운송주선인이 여러 송화인의 소량화물을 집화하여 하나의 컨테이너 등으로 혼재한 뒤 목적지에서 분류하여 여러 수하인에게 인도하는 방식이다. Buyer’s Consolidation은 일반적으로 하나의 구매자가 여러 공급자의 화물을 모아 자신에게 운송하도록 하는 형태이다.
71,화물운송론,FT08,중,기준연도의 지역 간 물동량표가 있고 각 지역의 장래 출발량과 도착량에 대한 성장계수가 주어졌다. 기존 물동량 분포를 바탕으로 장래 지역 간 물동량을 추정할 때 가장 적합한 모형은?,,회귀모형,중력모형,성장인자모형,최대유량모형,재고모형,3,성장인자모형은 기준연도의 지역 간 물동량 패턴에 장래 성장계수를 적용하여 물동량을 추정한다. 회귀모형은 설명변수와 수요의 통계적 관계를 이용하고 중력모형은 지역 규모와 거리저항을 고려한다.
72,화물운송론,FT08,중,Hub & Spoke 방식의 운송네트워크에 관한 설명으로 가장 적절하지 않은 것은?,,여러 지역의 화물을 허브에 집약한 후 다시 목적지별로 분류하여 운송할 수 있다.,모든 지역을 서로 직접 연결하는 방식보다 필요한 노선 수를 줄일 수 있다.,허브 간 간선구간에서는 화물을 집중시켜 차량이나 운송수단의 적재효율을 높일 수 있다.,출발지와 도착지 사이의 직행노선을 최대한 많이 운영하여 허브를 거치지 않도록 하는 것이 핵심적인 운영방식이다.,허브에 물량이 과도하게 집중되면 분류능력 부족이나 지연이 전체 배송서비스에 영향을 줄 수 있다.,4,Hub & Spoke 시스템은 여러 출발지의 화물을 허브에 모은 뒤 분류하여 각 목적지로 연결하는 구조이다. 모든 지역 간 직항노선을 확대하는 방식은 Point-to-Point 방식에 더 가깝다.
73,화물운송론,FT08,중,그림의 공급량과 수요량을 이용한 수송문제이다. X_ij가 공급지 i에서 수요지 j로 운송하는 물량일 때 제약조건으로 옳지 않은 것은?,images/questions/logistics/27회-1/q073.png,X_AX+X_AY+X_AZ=180,X_AX+X_BX+X_CX=140,X_AZ+X_BZ+X_CZ=240,X_BX+X_BY+X_BZ=180,X_CX+X_CY+X_CZ=160,4,공급지 B의 공급량은 220톤이므로 X_BX+X_BY+X_BZ=220이어야 한다. ④는 이를 180톤으로 제시했으므로 옳지 않다. 나머지는 그림의 공급량 또는 수요량과 일치한다.
74,화물운송론,FT08,중,그림과 같은 방향성 운송네트워크에서 단위 시간당 출발지 S에서 도착지 T까지 보낼 수 있는 최대 화물량은? 연결선의 숫자는 해당 구간의 최대 처리용량이며 화물은 화살표 방향으로만 이동한다.,images/questions/logistics/27회-1/q074.png,15,14,16,13,17,1,A→C에 5·A→D에 4·B→C에 2·B→D에 4를 배정하면 C를 통해 7이고 D를 통해 8을 보낼 수 있어 총 15가 된다. 또한 T로 들어가는 두 구간의 용량 합이 7+8=15이므로 이를 초과할 수 없다.
75,화물운송론,FT08,중,다음 표는 배송센터 O와 고객 A·B·C·D 사이의 거리를 나타낸 것이다. 세이빙법을 이용하여 두 고객을 하나의 배송경로로 결합할 때 절감거리가 가장 큰 조합은?,images/questions/logistics/27회-1/q075.png,A-C / 13km,C-D / 16km,A-B / 15km,B-C / 17km,B-D / 19km,5,두 고객의 절감거리는 센터에서 각 고객까지의 거리 합에서 두 고객 사이의 거리를 빼서 계산한다. B와 D는 15+14-10=19km이다. 다른 조합은 A-C 13km·C-D 16km·A-B 15km·B-C 17km이므로 B-D가 가장 크다.
76,화물운송론,FT08,하,택배기업의 여러 영업소와 집배거점에서 모인 화물을 목적지별로 대량 분류하고 다른 지역으로 이동하는 간선차량과 연결하는 대규모 중계시설은?,,특약점,터미널,대리점,취급점,위탁영업소,2,택배 터미널은 여러 지역에서 집화된 화물을 대량으로 분류·중계하고 간선운송과 연결하는 핵심 거점이다. 일반적인 지역 영업점보다 대규모 분류설비와 간선운송 연계기능을 갖는다.
77,화물운송론,FT08,중,적재용량 5톤인 차량으로 시간대별 납품조건이 있는 고객들을 배송하려 한다. 배송계획 원칙으로 가장 적절하지 않은 것은?,,가까운 고객을 묶더라도 각 고객의 납품가능 시간대를 함께 확인한다.,한 경로에 배정한 총화물량이 차량 적재용량을 넘지 않도록 한다.,이동거리가 짧으면 총화물량 6톤을 한 대의 5톤 차량에 배정한다.,서비스시간과 이동시간을 함께 고려하여 도착시각을 계산한다.,주문취소나 도로통제 발생 시 남은 경로를 재조정한다.,3,경로가 짧더라도 배정화물량이 차량 적재용량을 초과하면 실행가능한 배송계획이 아니다. 거리·시간창·서비스시간·차량용량을 함께 고려해야 한다.
78,화물운송론,FT02,하,택배사업자가 운송장에 적힌 운송물을 지정된 장소에서 수하인에게 넘겨주었다. 택배표준약관의 용어로 이 행위에 해당하는 것은?,,수탁,인도,집화,도착통지,운송장 교부,2,인도는 택배사업자가 수하인에게 운송물을 넘겨주는 행위이다. 송화인으로부터 운송물을 받는 행위는 수탁이다.
79,화물운송론,FT02,중,택배로 보내려는 물품의 포장이 약하여 운송 중 다른 화물까지 훼손할 우려가 있다. 사업자가 포장 보완을 요구했지만 송화인이 이를 거절한 경우 가장 적절한 처리는?,,사업자는 포장상태와 관계없이 반드시 수탁해야 한다.,사업자는 비용을 받지 않고 포장을 완전히 다시 해야 한다.,사업자는 송화인의 동의 없이 물품을 즉시 폐기할 수 있다.,사업자는 운송물의 수탁을 거절할 수 있다.,사업자는 먼저 배송한 뒤 수하인에게 포장책임을 부담시켜야 한다.,4,운송에 적합하지 않은 포장으로 다른 화물이나 운송수단에 손해가 발생할 우려가 있고 송화인이 필요한 보완을 거절하면 사업자는 수탁을 거절할 수 있다.
80,화물운송론,FT08,하,온라인 쇼핑몰의 개인 고객이 제품 하자로 반품을 신청하자 택배기업이 고객의 주택에서 상품을 수거해 판매기업의 물류센터로 운송했다. 이러한 택배물류의 흐름은?,,B2B 택배,B2C 택배,C2B 택배,C2C 택배,B2G 택배,3,기업에서 개인에게 상품을 보내는 일반적인 전자상거래 배송은 B2C이다. 개인 소비자로부터 반품이나 A/S 대상 상품을 회수하여 기업으로 이동시키는 흐름은 C2B이다.
"81","국제물류론","IT01","중","국제물류가 수행하는 기능에 관한 설명으로 가장 적절하지 않은 것은?","","생산지와 소비지 사이의 공간적 거리를 줄여 장소적 효용을 창출한다.","생산시점과 소비시점의 차이를 조정하여 시간적 효용을 높인다.","물류기업이 수출품의 제조공정을 직접 지휘하여 국가별 품질을 동일하게 만든다.","국가 간 수급 불균형을 조정하여 필요한 시장에 재화를 공급한다.","거래당사자 사이의 정보격차를 줄여 국제거래의 효율성을 높일 수 있다.","3","국제물류는 운송·보관·정보활동 등을 통해 장소·시간·수량 및 정보상의 불일치를 조정한다. 제조공정과 제품품질을 직접 통제하는 것은 생산관리의 역할이므로 ③이 적절하지 않다."
