번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
36,물류관리론,LM03,중,"A지역의 여러 중소 화주가 협의체를 구성하였다. 각 화주의 화물을 공동 집하장에 모은 뒤 통합하여 배송하고, 필요에 따라 보관과 집하작업도 함께 수행한다. 이와 가장 가까운 공동 수·배송 운영방식은?",,"특정화주공동형","집배송공동형","노선집하공동형","납품대행형","독립배송형",2,"집배송공동형은 복수의 화주가 공동화를 추진하여 화물의 집하와 배송을 통합하는 방식이다. 공동거점을 이용하는 경우 보관이나 집하 등의 기능까지 함께 운영할 수 있다."
37,물류관리론,LM08,상,"국제 물류보안제도 및 표준에 관한 설명으로 가장 적절하지 않은 것은?",,"ISPS Code는 국제항해 선박과 관련 항만시설의 보안강화를 위한 국제적인 보안체계이다.","AEO는 일정한 법규준수도와 안전관리 수준 등을 충족한 무역 관련 기업을 세관당국이 공인하는 제도이다.","C-TPAT는 미국의 국제무역 공급사슬 보안강화를 위해 세관당국과 민간기업의 협력을 기반으로 운영되는 프로그램이다.","ISO 28000은 공급사슬의 보안위험을 관리하기 위한 보안경영시스템과 관련된 국제표준이다.","ISPS Code는 공급사슬에 참여하는 화주·운송인·창고업체의 보안관리시스템을 인증하여 적격기업에 통관절차상의 혜택을 부여하는 기업공인제도이다.",5,"ISPS Code는 국제항해 선박과 항만시설의 보안강화를 위한 국제 선박 및 항만시설 보안규칙이다. 일정한 보안 및 법규준수 요건을 충족한 무역 관련 기업을 공인하고 통관상의 혜택 등을 부여하는 제도는 AEO와 관련되므로 ⑤는 적절하지 않다."
38,물류관리론,LM07,상,"운송기업이 동일한 화물자동차를 연간 120,000km 운행한다. 차량의 연비가 4km/L에서 5km/L로 향상되었으며 연료 1L 사용 시 이산화탄소 2.5kg이 배출된다고 가정한다. 연비 개선으로 1년 동안 감소하는 이산화탄소 배출량은?",,"10,000kg","12,000kg","15,000kg","18,000kg","20,000kg",3,"개선 전 연료사용량은 120,000÷4=30,000L이고 개선 후에는 120,000÷5=24,000L이다. 따라서 연간 6,000L의 연료가 절감되며 이산화탄소 감소량은 6,000×2.5=15,000kg이다."
39,물류관리론,LM07,하,"친환경 물류와 환경경영에 관한 설명으로 가장 적절하지 않은 것은?",,"ISO 14000 계열은 조직의 환경경영과 관련된 국제표준 체계이다.","생산자책임재활용제도(EPR)는 생산자에게 제품이나 포장재의 폐기 이후 재활용에 일정한 책임을 부여하는 제도이다.","친환경 운송수단의 활용과 차량 적재율 향상은 운송부문의 환경부하를 줄이는 방안이 될 수 있다.","회수물류는 사용 후 제품이나 포장재 등의 회수·재사용·재활용 과정과 관련될 수 있다.","ISO 9000 계열은 온실가스 감축과 환경성과 관리를 핵심 목적으로 하는 대표적인 환경경영시스템 표준이다.",5,"ISO 9000 계열은 품질경영시스템과 관련된 표준이다. 환경경영시스템과 직접 관련된 대표적인 국제표준은 ISO 14000 계열이다."
40,물류관리론,LM04,중,"스마트 물류기술의 특성과 활용을 연결한 설명으로 가장 적절하지 않은 것은?",,"IoT는 차량·화물·물류설비의 센서에서 위치나 상태정보 등을 수집하고 네트워크를 통해 공유하는 데 활용될 수 있다.","빅데이터 분석은 주문·판매·운송 등 대규모 데이터를 활용하여 수요예측이나 물류운영 의사결정을 지원할 수 있다.","인공지능은 과거와 실시간 데이터를 학습·분석하여 수요예측, 배송경로 선정 및 물류설비의 이상탐지 등에 활용될 수 있다.","블록체인은 참여자들이 거래이력을 공유하고 검증하는 구조를 이용하여 공급사슬의 추적성과 정보 신뢰성 향상에 활용될 수 있다.","클라우드 컴퓨팅은 물류현장의 센서가 물체에 직접 부착되어 전파를 이용해 개별 화물을 자동 식별하는 기술을 의미한다.",5,"클라우드 컴퓨팅은 네트워크를 통해 서버, 저장공간, 소프트웨어 등의 컴퓨팅 자원을 필요에 따라 이용하는 방식이다. 물체에 태그를 부착하고 전파를 이용하여 자동으로 식별하는 기술은 RFID에 해당하므로 ⑤의 연결은 적절하지 않다."
41,화물운송론,FT01,하,"화물의 특성과 운송수단을 연결한 설명으로 가장 적절하지 않은 것은?",,"화물자동차는 출발지와 도착지 사이의 문전운송에 유리하다.","철도는 일정 규모 이상의 화물을 중·장거리로 운송할 때 경쟁력을 가질 수 있다.","해상운송은 대량화물을 장거리로 운송하는 데 적합하다.","항공운송은 신속성이 중요하거나 단위가치가 높은 화물에 활용될 수 있다.","파이프라인은 운송할 수 있는 품목의 제약이 거의 없어 다양한 완제품 운송에 적합하다.",5,"파이프라인은 석유·가스 등 특정 유체나 일부 품목을 지속적으로 대량 운송하는 데 적합하지만 운송대상에 제약이 크다. 따라서 다양한 완제품 운송에 적합하다는 설명은 옳지 않다."
42,화물운송론,FT02,중,"A운송회사의 차량은 월간 총 주행거리 12,000km 중 화물을 적재한 상태로 9,000km를 운행하였으며, 적재운행 중 실제 수송한 화물량은 총 적재가능량의 80% 수준이었다. 다음 중 이 차량의 영차율과 적재율을 바르게 연결한 것은?",,"영차율 70%, 적재율 75%","영차율 75%, 적재율 80%","영차율 80%, 적재율 75%","영차율 80%, 적재율 90%","영차율 90%, 적재율 80%",2,"영차율은 총 주행거리 중 화물을 적재하고 운행한 거리의 비율이므로 9,000÷12,000×100=75%이다. 적재율은 적재가능량에 대한 실제 적재량의 비율로 문제에서 80%라고 제시하였다. 따라서 영차율 75%, 적재율 80%인 ②가 정답이다."
43,화물운송론,FT01,하,"한 화주는 매주 동일한 요일에 생산부품을 발송해야 하며 납품계획상 정해진 날짜에 안정적으로 도착하는 것을 가장 중요하게 평가한다. 이 화주가 운송수단을 선택할 때 우선적으로 고려해야 할 서비스 특성은?",,"경제성","신속성","확실성","편리성","안전성",3,"정해진 일정에 맞추어 운송서비스를 이용할 수 있고 계획된 시기에 안정적으로 운송할 수 있는가는 운송의 확실성과 관련된다. 단순히 운송시간이 짧은지를 평가하는 신속성과는 구별해야 한다."
44,화물운송론,FT06,상,"국제화물 운송주선인(Freight Forwarder)에 관한 설명으로 가장 적절하지 않은 것은?",,"화주의 요청에 따라 운송수단과 운송경로를 선정하고 운송을 주선할 수 있다.","여러 화주의 소량화물을 집화하여 혼재함으로써 운송효율을 높일 수 있다.","운송과 관련된 서류작성, 통관, 보관 등의 부대업무를 지원할 수 있다.","운송주선인이 계약운송인으로서 자기 명의의 운송서류를 발행하고 운송책임을 부담하는 경우도 있다.","운송주선인은 실제 운송수단을 직접 보유하지 않는 경우 운송계약의 당사자가 될 수 없으며 자기 명의의 운송서류도 발행할 수 없다.",5,"운송주선인은 화주와 실제 운송인을 연결하는 주선업무뿐 아니라 집화·혼재, 운송서류 작성, 통관 및 보관 등 다양한 서비스를 제공할 수 있다. 또한 계약운송인으로서 자기 명의의 운송서류를 발행하고 일정한 운송책임을 부담하는 경우도 있으므로 실제 운송수단을 보유하지 않으면 운송계약의 당사자가 될 수 없다는 설명은 적절하지 않다."
45,화물운송론,FT01,중,"화물운송시스템의 구성요소에 관한 설명으로 옳은 것은?",,"Mode는 물류센터·항만·터미널과 같은 운송거점을 의미한다.","Node는 도로·철도·항로와 같이 거점 사이를 연결하는 운송경로를 의미한다.","Link는 화물자동차·열차·선박과 같이 화물을 직접 이동시키는 운송수단을 의미한다.","Node에는 물류센터·철도역·항만·공항 등 화물의 집결이나 환적이 이루어지는 거점이 포함될 수 있다.","Mode와 Node는 같은 의미이므로 서로 구분하지 않는다.",4,"화물운송시스템은 일반적으로 운송수단인 Mode, 물류센터·터미널·항만·공항 등의 거점인 Node, 그리고 거점을 연결하는 도로·철도·항로 등의 Link로 구분할 수 있다."
46,화물운송론,FT06,중,"국제복합운송에서 운송수단의 결합방식과 명칭을 연결한 것으로 가장 적절하지 않은 것은?",,"Piggyback - 철도운송과 공로운송의 결합","Fishyback - 해상운송과 공로운송의 결합","Train & Ship - 철도운송과 해상운송의 결합","Sea & Air - 해상운송과 항공운송의 결합","Birdyback - 철도운송과 해상운송의 결합",5,"Birdyback은 항공운송과 공로운송을 결합한 형태를 의미한다. 철도운송과 해상운송의 결합은 Train & Ship 방식으로 볼 수 있다."
47,화물운송론,FT06,중,"국제운송에서 여러 수출기업의 LCL 화물을 운송주선인이 집화하여 하나의 컨테이너로 구성한 뒤 해외로 운송하고, 도착지에서 다시 분류하여 서로 다른 여러 수입기업에게 인도하였다. 이에 해당하는 혼재방식은?",,"Buyer's Consolidation","Shipper's Consolidation","Forwarder's Consolidation","Single Consignee Consolidation","Direct FCL Service",3,"Forwarder's Consolidation은 운송주선인이 여러 송화인의 LCL 화물을 집화·혼재하여 컨테이너 단위로 운송한 뒤 목적지에서 분류하여 여러 수화인에게 인도하는 방식이다."
48,화물운송론,FT04,상,"선하증권(B/L)의 종류와 특징을 연결한 설명으로 가장 적절하지 않은 것은?",,"Clean B/L은 선적화물의 외관상 결함 등에 관한 사고문언이 기재되지 않은 선하증권이다.","Straight B/L은 특정 수하인이 기명되어 발행되는 형태이다.","On Board B/L은 화물이 실제 선박에 적재되었음을 나타내는 선하증권이다.","Stale B/L은 신용장거래 등에서 요구되는 제시기간이 지나 늦게 제시된 선하증권을 의미할 수 있다.","Red B/L은 철도와 해상운송을 결합하여 운송했다는 사실만을 증명하기 위해 발행되는 복합운송 전용 선하증권이다.",5,"Red B/L은 일반적인 선하증권 기능에 보험증권적 기능이 결합된 형태로 설명된다. 둘 이상의 운송수단을 이용한 복합운송 자체를 증명하기 위한 선하증권이라는 설명은 적절하지 않다."
49,화물운송론,FT03,하,"철도와 컨테이너를 연계한 운송에서 컨테이너만 철도 화차에 적재하고 트레일러 자체는 함께 싣지 않는 방식은?",,"TOFC","COFC","RO-RO","Piggyback Trailer","Single Wagon",2,"COFC(Container on Flat Car)는 컨테이너 자체를 철도 평판화차 등에 적재하여 운송하는 방식이다. 반면 TOFC는 트레일러를 화차에 적재하여 운송하는 방식이다."
50,화물운송론,FT03,중,"철도화물 서비스에 관한 다음 설명에 해당하는 것은? '화차가 여러 중간역이나 터미널을 거치면서 다른 화차와 연결·분리될 수 있으며, 특정 화주를 위한 전용열차보다 소규모 물량에도 대응하기 쉽다.'",,"Block Train","Shuttle Train","Single-Wagon Train","Y-Shuttle Train","Unit Train",3,"Single-Wagon Train은 개별 화차 단위의 화물을 운송하면서 중간역이나 터미널에서 화차를 연결·분리하여 목적지까지 운송하는 일반적인 철도화물 서비스 형태이다."
51,화물운송론,FT04,하,"부정기선 운송의 일반적인 특징으로 가장 적절하지 않은 것은?",,"특정 화주의 대량화물을 운송하는 데 활용되는 경우가 많다.","원자재·곡물·광석 등 대량 벌크화물 운송에 적합하다.","운항일정과 항로가 화물수요나 계약조건에 따라 정해질 수 있다.","운임은 화물과 시장상황 등에 따라 당사자 간 협상으로 결정될 수 있다.","불특정 다수 화주를 대상으로 고정된 항로와 정기적인 운항일정을 유지하는 것이 핵심 특징이다.",5,"고정된 항로와 일정에 따라 불특정 다수의 화주에게 운송서비스를 제공하는 것은 정기선의 대표적인 특징이다. 부정기선은 특정 화주의 대량화물을 중심으로 수요와 계약에 따라 운항하는 성격이 강하다."
52,화물운송론,FT05,중,"항공화물 운송과 관련된 용어의 설명으로 가장 적절한 것은?",,"Belly Cargo는 화물전용기의 주화물실에만 적재되는 화물을 의미한다.","Cabotage는 외국 항공사가 다른 국가의 국내 두 지점 사이에서 여객이나 화물을 운송하는 것과 관련된 운수권 개념이다.","Apron은 항공화물 운임을 항공사 간에 정산하기 위한 기관을 의미한다.","Pivot Weight는 항공기에 실제 적재된 화물의 총중량을 의미한다.","Clearing House는 통관이 끝난 화물을 장기간 보관하기 위한 공항창고를 의미한다.",2,"Cabotage는 외국 항공사가 한 국가의 국내 지점 사이에서 운송서비스를 제공하는 것과 관련된 개념이다. Belly Cargo는 여객기의 하부 화물칸에 적재되는 화물이며, Apron은 항공기의 주기·탑승·화물 적재·정비 등을 위한 공항 내 구역이다. Clearing House는 항공사 간 운임 등의 정산과 관련된다."
53,화물운송론,FT05,중,"항공화물운송장(AWB)에 관한 설명으로 옳지 않은 것은?",,"항공화물 운송계약이 체결되었다는 사실을 나타내는 운송서류로 활용된다.","해상운송의 선하증권과 달리 일반적으로 유가증권으로서의 성격을 갖지 않는다.","혼재운송에서는 항공사가 발행하는 Master AWB와 운송주선인이 화주에게 발행하는 House AWB가 사용될 수 있다.","일반적으로 기명식으로 발행되며 화물의 수취를 증명하는 기능을 가진다.","화물이 항공기에 실제 탑재된 이후에만 작성할 수 있으며 탑재 전에는 발행할 수 없다.",5,"AWB는 항공화물 운송계약과 화물의 수취 등을 증명하는 비유통성 운송서류이다. 일반적으로 화물이 항공기에 탑재되기 전에 작성되므로 실제 탑재가 끝난 뒤에만 발행할 수 있다는 설명은 옳지 않다."
54,화물운송론,FT06,상,"한국에서 출발한 컨테이너 화물이 태평양을 건너 미국 서부 항만에 도착한 후 철도로 미국 내륙의 시카고까지 이동하고, 최종 구간은 트럭으로 배송된다. 이와 같은 국제복합운송 서비스에 가장 가까운 것은?",,"American Land Bridge","Canadian Land Bridge","Mini Land Bridge","Interior Point Intermodal","Sea & Air",4,"IPI(Interior Point Intermodal)는 극동지역 등에서 미국 서안 항만까지 해상으로 운송한 뒤 철도 등을 이용하여 미국의 내륙지점까지 연결하고 필요에 따라 공로운송으로 최종 목적지까지 배송하는 복합운송 형태이다."
55,화물운송론,FT05,중,"항공으로 운송할 화물 1개의 실제중량은 32kg이고 크기는 가로 80cm, 세로 60cm, 높이 50cm이다. 항공운임 산정을 위한 용적중량은 6,000cm³를 1kg으로 환산하며, 실제중량과 용적중량 중 큰 값을 운임산출중량(Chargeable Weight)으로 적용한다. 이 화물의 운임산출중량은?",,"32kg","36kg","40kg","48kg","50kg",3,"화물의 부피는 80×60×50=240,000cm³이다. 용적중량은 240,000÷6,000=40kg이다. 실제중량 32kg과 용적중량 40kg 중 큰 값을 적용하므로 운임산출중량은 40kg이며 정답은 ③이다."
56,화물운송론,FT04,중,"선박의 구조 또는 하역방식에 관한 설명으로 가장 적절하지 않은 것은?",,"Barge는 자체 추진장치가 없는 경우 예인선이나 밀어주는 선박의 도움을 받아 이동할 수 있다.","LASH는 바지선을 본선에 적재하여 운송하는 방식과 관련된 선박시스템이다.","Full Container Ship은 컨테이너 운송에 적합하도록 설계된 선박이다.","LO-LO선은 일반적으로 크레인 등을 이용하여 화물을 수직방향으로 선적·양하한다.","RO-RO선은 컨테이너를 본선의 크레인으로 수직 인양하는 방식만을 사용하며 차량의 직접 진입은 불가능하다.",5,"RO-RO(Roll-on/Roll-off)선은 차량이나 트레일러 등이 램프를 이용하여 선박에 직접 출입할 수 있도록 설계된 선박이다. 크레인을 이용한 수직 하역을 대표적인 방식으로 하는 것은 LO-LO 방식이다."
57,화물운송론,FT03,중,"철도화물운송과 화물자동차운송을 비교한 설명으로 가장 적절한 것은?",,"철도운송은 화물자동차운송보다 일반적으로 문전운송 능력이 우수하여 별도의 집배송운송이 필요하지 않다.","철도운송은 운송거리가 짧고 화물량이 적을수록 고정비 부담이 분산되어 경제성이 높아지는 경향이 있다.","철도운송은 대량화물의 중·장거리 운송에서 규모의 경제를 확보하기 유리하지만 철도역 전후의 집배송이나 환적이 필요할 수 있다.","화물자동차운송은 철도운송보다 노선과 운행경로의 제약이 크기 때문에 단거리 운송에서 활용하기 어렵다.","철도운송은 화차의 편성이나 환적이 필요하지 않으므로 소량화물의 즉시 운송에서 화물자동차보다 항상 유리하다.",3,"철도운송은 대량화물을 중·장거리로 운송할 때 단위당 운송비를 낮추기 유리하다. 다만 철도망과 역을 중심으로 운행하므로 출발지와 도착지 사이의 문전운송을 위해 화물자동차 등에 의한 집배송이나 환적이 필요할 수 있다. 따라서 ③이 가장 적절하다."
58,화물운송론,FT05,중,"국제항공운송 분야의 기관과 역할을 연결한 것으로 가장 적절한 것은?",,"ICAO - 개별 항공사의 화물운임을 직접 결정하는 민간 항공사 협회","IATA - 항공사 간 협력과 국제항공운송의 표준화 및 관련 업무를 수행하는 민간 항공운송 관련 단체","FIATA - 각국 정부를 회원으로 하여 국제민간항공의 기술기준을 제정하는 정부 간 기구","TIACA - 국제 해상운송만을 대상으로 선박의 안전기준을 제정하는 기관","IATA - 국제공항의 건설허가와 각국 영공의 군사적 통제를 담당하는 국제기구",2,"IATA는 국제 항공사들의 협력을 바탕으로 항공운송의 표준화와 관련 업무를 수행하는 민간 항공운송 관련 단체이다. ICAO는 국가를 중심으로 구성된 국제민간항공기구이며, FIATA는 국제운송주선인 관련 단체이다."
59,화물운송론,FT08,중,"한 유통기업은 동일 권역의 40개 거래처에 상품을 배송하고 있다. 최근 차량의 평균 적재율은 낮은 반면 거래처당 배송빈도가 높아 운송비가 증가하고 있다. 다음 중 수·배송시스템의 효율을 개선하기 위한 방안으로 가장 적절하지 않은 것은?",,"인접 거래처의 주문을 통합하여 배송경로를 재설계한다.","주문량과 차량 적재능력을 고려하여 적정 차량을 배차한다.","납품시간 제약을 고려하여 차량별 방문순서와 배송경로를 조정한다.","가능한 범위에서 주문을 통합하여 차량의 평균 적재율을 높인다.","거래처별 배송빈도를 더욱 세분화하여 주문량과 관계없이 소량 주문도 각각 독립된 차량으로 운송한다.",5,"수·배송 효율을 높이려면 주문통합, 적정 차량배차, 배송경로 최적화 등을 통해 차량 적재율을 높이고 불필요한 운행을 줄여야 한다. 주문량과 관계없이 소량 주문마다 독립 차량을 투입하면 배송횟수와 운송비가 증가하고 적재율이 낮아질 가능성이 있으므로 ⑤가 적절하지 않다."
60,화물운송론,FT08,중,"Hub & Spoke 방식의 수·배송 네트워크에 관한 설명으로 가장 적절하지 않은 것은?",,"여러 지역의 소량화물을 허브에 집결하여 대량화한 뒤 다시 목적지별로 분류할 수 있다.","운송물량을 집중함으로써 간선운송에서 규모의 경제를 기대할 수 있다.","허브에서는 대량의 화물을 신속하게 분류·환적할 수 있는 처리능력이 중요하다.","모든 출발지와 목적지를 직접 연결하는 Point-to-Point 방식보다 필요한 노선 수를 줄일 수 있다.","모든 화물이 허브를 경유하므로 어떤 운송조건에서도 총 운송거리와 배송시간이 반드시 감소한다.",5,"Hub & Spoke 방식은 화물을 허브에 집중하여 간선운송의 효율을 높이고 노선 수를 줄일 수 있다는 장점이 있다. 그러나 허브를 우회하여 이동해야 하는 화물은 직접운송보다 운송거리나 시간이 증가할 수 있으므로 항상 감소한다고 볼 수 없다."
61,화물운송론,FT08,중,"A·B·C 세 제조기업은 동일 지역의 거래처에 각각 상품을 배송하고 있으며 배송지역과 운행시간대가 상당 부분 중복된다. 세 기업이 공동 수·배송을 도입할 경우 나타날 수 있는 효과와 고려사항에 관한 설명으로 가장 적절하지 않은 것은?",,"기업별 물량을 통합함으로써 차량의 평균 적재율을 높일 가능성이 있다.","중복되는 배송경로를 조정하여 전체 차량 운행횟수나 주행거리를 줄일 수 있다.","공동 차량과 물류거점을 활용함으로써 물동량 변동에 보다 탄력적으로 대응할 수 있다.","참여기업 간 배송시간, 서비스수준 및 비용분담 기준에 대한 사전 조정이 필요할 수 있다.","공동 수·배송에서는 참여기업의 물류활동이 통합되므로 기업 간 비용분담이나 배송서비스 수준에 관한 이해관계 조정의 필요성이 감소하여 운영주체가 필요하지 않다.",5,"공동 수·배송은 여러 기업의 물량을 통합하여 적재율 향상, 중복운행 감소, 물류자원의 공동활용 등의 효과를 기대할 수 있다. 반면 참여기업마다 배송조건과 서비스수준, 비용구조가 다를 수 있으므로 비용분담과 운영기준을 조정할 주체와 정보공유체계가 중요하다. 따라서 ⑤가 적절하지 않다."
62,화물운송론,FT03,중,"화물자동차 운송비가 9,000원/ton·km, 철도운송비가 5,000원/ton·km이고 철도를 이용할 경우 상·하차 및 환적 등 추가비용이 600,000원/ton 발생한다. 다른 조건이 동일할 때 철도운송과 화물자동차 운송의 총비용이 같아지는 경제적 분기거리는?",,"100km","125km","150km","175km","200km",3,"분기거리를 x라고 하면 화물자동차 총비용은 9,000x, 철도 총비용은 600,000+5,000x이다. 9,000x=600,000+5,000x이므로 4,000x=600,000, x=150km이다. 따라서 150km를 초과하면 주어진 조건에서는 철도운송의 비용우위가 발생한다."
63,화물운송론,FT02,하,"A운송회사의 연간 총 주행거리는 72,000km이고 이 중 화물을 적재한 상태로 운행한 거리는 54,000km이다. 이 회사 차량의 영차율은?",,"65%","70%","75%","80%","85%",3,"영차율은 적재 상태의 주행거리÷총 주행거리×100으로 계산한다. 따라서 54,000÷72,000×100=75%이다."
64,화물운송론,FT08,중,"다음 운송 네트워크에서 화살표 위 숫자가 각 구간의 거리(km)를 나타낼 때 출발지 S에서 목적지 F까지의 최단거리는?",images/questions/logistics/28회-1/q064.png,"11km","12km","13km","14km","15km",2,"가능한 주요 경로를 비교하면 S→A→D→F는 4+4+4=12km, S→B→D→F는 6+4+4=14km, S→B→E→F는 6+3+5=14km, S→C→E→F는 5+4+5=14km이다. 따라서 최단거리는 12km이다."
65,화물운송론,FT08,상,"다음 수송표에 북서코너법과 보겔추정법을 각각 적용하여 초기 운송계획을 수립할 때 두 방법의 총 운송비 차이는? 단, 각 셀의 숫자는 톤당 운송비이며 단위는 천 원이다.",images/questions/logistics/28회-1/q065.png,"600,000원","800,000원","1,000,000원","1,200,000원","1,400,000원",3,"북서코너법에서는 S1→D1 200톤, S1→D2 100톤, S2→D2 200톤, S2→D3 50톤, S3→D3 150톤을 배정하여 총 운송비가 6,600천 원이다. 보겔추정법에서는 S1→D2 300톤, S2→D1 200톤, S2→D3 50톤, S3→D3 150톤을 배정하여 총 운송비가 5,600천 원이다. 따라서 두 방법의 총 운송비 차이는 1,000천 원, 즉 1,000,000원이다."
66,화물운송론,FT08,상,"다음 방향성 네트워크에서 화살표 위 숫자가 각 구간의 최대 운송용량을 나타낼 때 출발지 S에서 목적지 T까지 보낼 수 있는 최대유량은?",images/questions/logistics/28회-1/q066.png,"9","10","11","12","13",5,"S에서 A로 7, B로 6을 보낼 수 있다. A에서는 C로 5, D로 2를 보내고 B에서는 C로 1, D로 5를 보내면 C에는 총 6, D에는 총 7이 유입된다. 이를 각각 C→T 6, D→T 7로 보낼 수 있으므로 총 13의 유량이 가능하다. 또한 S에서 나가는 총 용량이 7+6=13이므로 이를 초과할 수 없다. 따라서 최대유량은 13이다."
67,화물운송론,FT05,중,"항공화물의 실제중량은 32kg이고 크기는 가로 80cm, 세로 60cm, 높이 50cm이다. 용적중량은 6,000cm³를 1kg으로 환산하며, 항공운임은 운임산출중량 1kg당 7,000원이고 최저운임은 80,000원이다. 적용되는 항공운임은?",,"224,000원","240,000원","280,000원","320,000원","400,000원",3,"용적중량은 80×60×50÷6,000=40kg이다. 실제중량 32kg과 용적중량 40kg 중 큰 값인 40kg을 운임산출중량으로 적용한다. 따라서 40×7,000=280,000원이며 최저운임보다 크므로 적용운임은 280,000원이다."
68,화물운송론,FT08,상,"다음 수송표에 최소비용법을 적용하여 최초 운송계획을 수립할 때 총 운송비는? 단, 각 셀의 숫자는 톤당 운송비이며 단위는 천 원이다.",images/questions/logistics/28회-1/q068.png,"3,500,000원","3,700,000원","3,900,000원","4,100,000원","4,300,000원",3,"최저비용 셀부터 할당하면 S3→D3에 150톤, S2→D2에 250톤, S1→D1에 200톤, S2→D3에 50톤, S1→D3에 50톤을 배정할 수 있다. 총 운송비는 150×4+250×5+200×6+50×7+50×10=3,900천 원이므로 3,900,000원이다."
69,화물운송론,FT02,하,"택배 운송계약을 체결하면서 작성하는 운송장에 일반적으로 기재할 사항으로 가장 거리가 먼 것은?",,"사업자의 상호와 연락처","송하인 및 수하인의 성명과 연락처","운송물의 종류와 수량","운임과 운송에 필요한 비용의 지급방법","운송물 제조기업의 최근 3개년 영업이익",5,"택배 운송장에는 사업자와 송하인·수하인의 기본정보, 운송물의 종류와 수량, 운임 및 비용, 인도예정정보 등 운송계약의 이행에 필요한 사항을 기재한다. 운송물 제조기업의 영업이익은 택배 운송계약과 직접 관련된 기재사항이 아니다."
70,화물운송론,FT02,하,"B운송회사의 한 달 총 주행거리는 80,000km이고 이 중 화물을 적재하지 않은 상태로 운행한 거리는 18,000km이다. 이 회사의 공차율은?",,"18.0%","20.0%","22.5%","25.0%","27.5%",3,"공차율은 공차주행거리÷총 주행거리×100으로 계산한다. 따라서 18,000÷80,000×100=22.5%이다."
71,화물운송론,FT02,하,"화물의 특성에 맞추어 사용하는 특장차에 관한 설명으로 옳지 않은 것은?",,"냉동·냉장차는 온도관리가 필요한 화물의 운송에 적합하다.","탱크로리는 액체나 분말 형태의 화물을 운송하는 데 활용된다.","덤프트럭은 적재함을 기울여 토사와 같은 화물을 신속하게 하역할 수 있다.","믹서트럭은 운송 중 콘크리트가 굳는 것을 방지하기 위해 드럼을 회전시키며 운송한다.","리프트게이트 장착차량은 적재함 자체를 회전시켜 벌크화물을 쏟아내는 것을 주목적으로 한다.",5,"리프트게이트 장착차량은 차량 후방의 승강장치를 이용하여 화물의 상·하차 작업을 쉽게 하는 차량이다. 적재함을 기울여 화물을 쏟아내는 방식은 덤프트럭의 특징이다."
72,화물운송론,FT08,중,"A물류기업은 전국에 여러 지역터미널을 두고 있다. 각 터미널은 다른 터미널로 보낼 화물을 중간 허브에 모으지 않고 목적지역 터미널까지 직접 운송한다. 이 운송망의 특징으로 가장 적절한 것은?",,"화물을 중앙 허브에 집중한 뒤 목적지별로 재분류한다.","터미널 사이를 직접 연결하므로 연결 노선의 수가 많아질 수 있다.","소규모 지역터미널만으로 전국 네트워크를 구성하기에 가장 유리하다.","모든 화물이 하나의 대형 분류시설을 반드시 거쳐야 한다.","운송망 확대에 따라 필요한 터미널 간 연결노선 수가 감소한다.",2,"제시된 방식은 Point to Point 방식이다. 각 거점을 직접 연결하므로 허브를 반드시 경유할 필요가 없지만 거점이 증가하면 필요한 직접 연결노선의 수도 많아질 수 있다."
73,화물운송론,FT01,중,"화물운송의 비용과 운임에 관한 설명으로 옳지 않은 것은?",,"차량의 감가상각비는 일반적으로 고정비 성격을 가진다.","연료비는 차량의 운행거리 증가에 따라 변동하는 대표적인 변동비이다.","운송수단을 선택할 때에는 운임뿐 아니라 운송시간과 신뢰성 등도 고려할 수 있다.","부피에 비하여 중량이 작은 화물은 운송수단에 따라 용적을 고려한 운임이 적용될 수 있다.","화주가 인식하는 운송서비스의 가치와 관계없이 운임은 반드시 운송원가만을 기준으로 결정해야 한다.",5,"운임은 원가만으로 결정되는 것이 아니라 시장상황, 경쟁관계, 화물 특성 및 화주가 인식하는 서비스 가치 등 다양한 요소의 영향을 받을 수 있다."
74,화물운송론,FT02,중,"택배화물의 포장 및 취급에 관한 설명으로 가장 적절하지 않은 것은?",,"송화인은 운송물의 성질·중량·용적 등을 고려하여 운송에 적합하도록 포장하는 것이 원칙이다.","파손 우려가 있는 운송물은 운송 중 발생할 수 있는 충격을 고려하여 완충재 등으로 보호할 필요가 있다.","사업자는 운송물의 포장이 운송에 적합하지 않은 경우 송화인에게 필요한 포장조치를 요구할 수 있다.","운송 중 포장이 훼손되어 재포장한 경우 사업자는 운송물을 수하인에게 인도한 이후에만 그 사실을 송화인에게 알리면 된다.","운송물의 성질상 특별한 주의가 필요한 경우에는 그 특성에 적합한 포장과 취급이 요구될 수 있다.",4,"운송 중 포장이 훼손되어 재포장이 필요한 경우에는 운송물의 안전한 운송과 계약의 적절한 이행을 위해 필요한 조치를 하고 관련 사실을 적절하게 통지하여야 한다. 이를 수하인에게 운송물을 인도한 이후에만 알리면 된다고 보는 것은 적절하지 않다."
