"번호","과목","분류코드","난이도","문제","이미지","보기1","보기2","보기3","보기4","보기5","정답","해설"
49,물류관련법규,LR02,중,"물류시설의 개발 및 운영에 관한 법률상 물류터미널사업의 범위에서 제외되는 시설을 경영하는 사업으로 옳지 않은 것은?","","두 종류 이상의 운송수단 간 연계운송이 가능한 규모와 시설을 갖춘 복합물류터미널을 경영하는 사업","항만구역에 위치한 항만시설 중 화물하역시설 및 화물보관·처리시설을 경영하는 사업","공항구역에 있는 화물운송시설과 그 부대시설 및 지원시설을 경영하는 사업","철도사업자가 자기 사업에 사용하는 화물운송·하역 및 보관시설을 경영하는 사업","유통산업발전법에 따른 집배송시설이나 공동집배송센터를 경영하는 사업",1,"복합물류터미널사업은 물류터미널사업의 한 종류이므로 범위에서 제외되는 사업이 아니다. 반면 항만구역의 일정 화물시설·공항구역의 일정 화물운송시설·철도사업자가 사용하는 화물운송 및 하역·보관시설·집배송시설 및 공동집배송센터 등은 법에서 물류터미널사업의 범위에서 제외한다."
50,물류관련법규,LR02,하,"복합물류터미널사업의 등록기준에 관한 설명으로 옳지 않은 것은?","","복합물류터미널은 해당 지역 운송망의 중심지에 위치하여 다른 교통수단과 쉽게 연계될 수 있어야 한다.","부지면적은 3만3천제곱미터 이상이어야 한다.","부지면적이 1만제곱미터 이상이면 다른 요건과 관계없이 법정 최소면적 기준을 충족한다.","주차장과 화물취급장 및 창고 또는 배송센터 등의 시설을 갖추어야 한다.","관련 물류계획상의 물류터미널 개발·정비계획 등과의 관계에 관한 등록기준도 적용된다.",3,"복합물류터미널사업의 등록을 위한 부지면적 기준은 3만3천제곱미터 이상이다. 따라서 1만제곱미터 이상이면 최소면적 기준을 충족한다는 ③의 설명은 옳지 않다."
51,물류관련법규,LR02,중,"물류단지의 실수요 검증에 관한 설명으로 옳지 않은 것은?","","물류단지지정권자는 무분별한 물류단지 개발을 방지하고 국토를 효율적으로 이용하기 위하여 실수요 검증을 실시한다.","실수요 검증은 원칙적으로 물류단지를 지정하기 전에 실시하여야 한다.","물류단지지정권자는 실수요 검증을 위하여 필요한 경우 실수요검증위원회를 구성·운영할 수 있다.","물류단지를 먼저 지정한 후 1년 이내에 실수요 검증을 실시하면 사전 검증을 생략할 수 있다.","도시첨단물류단지개발사업의 경우에는 법령에서 정한 바에 따라 실수요 검증을 실수요검증위원회의 자문으로 갈음할 수 있다.",4,"물류단지 실수요 검증은 무분별한 개발을 방지하기 위하여 물류단지 지정 전에 실시하는 것이 원칙이다. 지정 후 1년 이내에 사후 검증하면 된다는 ④의 설명은 옳지 않다. 도시첨단물류단지개발사업은 법에서 정한 경우 위원회의 자문으로 갈음할 수 있다."
52,물류관련법규,LR02,중,"다음 자료는 서로 다른 물류창고의 종류와 규모를 나타낸 것이다. 주문배송시설에 관한 특례는 고려하지 않을 때 물류창고업 등록대상에 해당하는 것만을 모두 고른 것은?","images/questions/logistics/27회-2/q052.png","A·B","A·D","B·D","B·C","C·D",3,"물류창고업 등록대상은 전체 바닥면적의 합계가 1,000제곱미터 이상인 보관시설 또는 전체면적의 합계가 4,500제곱미터 이상인 보관장소이다. 자료에서 B는 보관시설 1,200제곱미터이고 D는 보관장소 4,800제곱미터이므로 등록대상에 해당한다. A와 C는 각각 해당 기준에 미달하므로 ③이 옳다."
53,물류관련법규,LR02,중,"스마트물류센터 인증제도에 관한 설명으로 옳은 것은?","","스마트물류센터 인증등급은 5등급으로 구분한다.","스마트물류센터는 인증을 받은 날부터 매년 정기점검을 받아야 한다.","예비인증은 건축물의 사용승인이 완료된 후 실제 운영실적만을 대상으로 실시한다.","스마트물류센터 인증은 물류창고의 소유자만 신청할 수 있으며 임차하여 운영하는 자는 신청할 수 없다.","정기점검에서 인증기준을 계속 충족하더라도 인증 유효기간을 연장할 수 없다.",1,"스마트물류센터 인증등급은 5등급으로 구분한다. 인증기관은 인증한 날을 기준으로 3년마다 정기점검을 실시하며 기준을 유지하는 경우 인증 유효기간을 연장할 수 있다. 예비인증은 본인증에 앞서 건축물 설계에 반영된 내용을 대상으로 받을 수 있으므로 ①이 옳다."
54,물류관련법규,LR02,중,"물류단지개발사업에 필요한 토지 등의 수용·사용에 관한 설명으로 옳은 것은?","","물류단지개발사업의 시행자는 어떠한 경우에도 토지 등을 수용하거나 사용할 수 없다.","토지 등을 수용하려면 물류단지 지정고시와 별도로 토지보상법에 따른 사업인정을 반드시 다시 받아야 한다.","재결의 신청은 물류단지 지정일부터 1년 이내에만 할 수 있으며 사업시행기간과는 관계가 없다.","물류단지 지정고시가 있는 때에는 원칙적으로 토지보상법에 따른 사업인정 및 그 고시가 있는 것으로 본다.","물류단지 안의 토지 등에 대한 재결은 지정권자와 관계없이 모두 중앙토지수용위원회가 관장한다.",4,"물류단지개발사업의 시행자는 법에서 정한 요건에 따라 필요한 토지 등을 수용하거나 사용할 수 있다. 물류단지 지정고시가 이루어진 경우에는 토지보상법에 따른 사업인정 및 그 고시가 이루어진 것으로 본다. 또한 재결기관은 물류단지의 지정권자에 따라 달라질 수 있으므로 ④가 옳다."
55,물류관련법규,LR02,하,"물류 교통·환경 정비지구에서 행정적·재정적 지원을 할 수 있는 정비사업으로 보기 어려운 것은?","","물류시설 주변 도로의 신설·확장·개량 및 보수","물류기업이 운영하는 일반 유독물 보관창고의 내부 저장설비 교체","화물차량 운행으로 발생하는 소음·진동을 줄이기 위한 방음·방진시설의 설치","공영차고지 및 화물자동차 휴게소의 설치","전기자동차 충전시설이나 수소연료공급시설의 설치·정비 또는 개량",2,"물류 교통·환경 정비사업에는 도로 등 기반시설 정비·공영차고지와 화물자동차 휴게소 설치·방음 및 방진시설 설치 등이 포함되며 대통령령에 따라 전기자동차 충전시설과 수소연료공급시설의 설치·정비·개량도 지원대상이 될 수 있다. 일반적인 유독물 보관창고 내부 저장설비의 교체는 제시된 정비사업에 해당하지 않으므로 ②가 옳다."
56,물류관련법규,LR02,상,"물류단지재정비사업의 구분에 관한 설명으로 옳지 않은 것은?","","전부 재정비사업은 토지이용계획 및 주요 기반시설계획 등의 변경을 수반하면서 지정된 물류단지 면적의 50퍼센트 이상을 재정비하는 사업을 말한다.","단계적으로 재정비하는 면적도 전부 재정비사업의 면적기준을 판단할 때 포함될 수 있다.","전부 재정비사업에 해당하지 않는 물류단지재정비사업은 부분 재정비사업으로 구분한다.","지정된 물류단지 면적의 절반 이상을 재정비하더라도 전부 재정비사업의 다른 법정요건도 함께 검토하여야 한다.","지정면적의 50퍼센트를 초과하여 재정비하기만 하면 토지이용계획이나 주요 기반시설계획의 변경 여부와 관계없이 전부 재정비사업으로 본다.",5,"전부 재정비사업은 단순히 재정비면적이 50퍼센트 이상이라는 이유만으로 성립하는 것이 아니라 토지이용계획 및 주요 기반시설계획 등의 변경을 수반하는 경우여야 한다. 부분 재정비사업은 이러한 전부 재정비사업 이외의 재정비사업을 말하므로 ⑤가 옳지 않다."
57,물류관련법규,LR03,중,"화물자동차 운송사업의 허가 및 허가사항 변경에 관한 설명으로 옳지 않은 것은?","","화물자동차 운송사업을 경영하려는 자는 법령에서 정한 바에 따라 허가를 받아야 한다.","운송사업의 허가에는 필요한 조건을 붙일 수 있다.","허가사항 가운데 대통령령으로 정하는 경미한 사항을 변경하는 경우에도 예외 없이 변경허가를 받아야 한다.","운송사업자가 허가사항을 변경하려는 경우 원칙적으로 변경허가의 대상이 될 수 있다.","경미한 허가사항의 변경에 대해서는 법령에서 정한 바에 따라 변경신고제도가 적용된다.",3,"운송사업자가 허가사항을 변경하려면 원칙적으로 변경허가를 받아야 하지만 대통령령으로 정하는 경미한 사항은 변경허가가 아니라 신고의 대상이 된다. 따라서 경미한 변경까지 모두 변경허가를 받아야 한다는 ③이 옳지 않다."
58,물류관련법규,LR03,하,"화물자동차 운송사업자의 운송약관에 관한 설명으로 옳은 것은?","","운송사업자가 화물자동차 운송사업의 허가를 받을 때 표준약관 사용에 동의하면 운송약관을 신고한 것으로 볼 수 있다.","운송약관은 최초 한 번만 신고하면 되고 이후 내용을 변경하는 경우에는 신고할 필요가 없다.","국토교통부장관은 운송약관 신고를 받은 날부터 30일 이내에 신고수리 여부를 통지하여야 한다.","화물운송 표준약관은 공정거래위원회가 직접 작성하여 운송사업자에게 의무적으로 사용하도록 한다.","운송약관 신고는 운송사업자 본인만 할 수 있으며 어떠한 경우에도 대리할 수 없다.",1,"운송사업자는 운송약관을 정하여 신고해야 하며 이를 변경하려는 경우에도 신고해야 한다. 또한 화물자동차 운송사업의 허가를 받을 때 법에서 정한 표준약관의 사용에 동의하면 운송약관을 신고한 것으로 본다. 신고수리 여부의 통지기간은 3일이므로 ①이 옳다."
59,물류관련법규,LR03,중,"화물자동차 안전운임의 효력에 관한 설명으로 옳지 않은 것은?","","화주는 법령의 적용대상이 되는 경우 운수사업자 또는 화물차주에게 안전운송운임 이상의 운임을 지급하여야 한다.","운수사업자는 화물차주에게 안전위탁운임 이상의 운임을 지급하여야 한다.","화물운송계약에서 안전운임에 미치지 못하는 금액을 운임으로 정한 부분은 무효가 될 수 있다.","화주와 운수사업자가 서면으로 합의하였다면 법정 안전운임보다 낮은 운임을 유효하게 정할 수 있다.","안전운임에는 화주가 지급하는 안전운송운임과 운수사업자가 화물차주에게 지급하는 안전위탁운임의 구분이 있다.",4,"화물자동차 안전운임보다 낮게 정한 계약부분은 당사자 간 합의가 있더라도 그대로 유효해지는 것이 아니다. 해당 부분은 무효이고 법정 안전운임과 동일한 운임을 지급하기로 한 것으로 본다. 따라서 서면합의로 안전운임보다 낮은 금액을 유효하게 정할 수 있다는 ④가 옳지 않다."
60,물류관련법규,LR03,상,"다음 자료에서 화물자동차 운송사업자의 손해배상책임 및 분쟁조정에 관한 설명으로 옳은 것만을 모두 고른 것은?","images/questions/logistics/27회-2/q060.png","ㄱ·ㄴ","ㄱ·ㄷ","ㄴ·ㄹ","ㄱ·ㄴ·ㄷ","ㄱ·ㄷ·ㄹ",2,"화물이 인도기한이 지난 후 3개월 이내에 인도되지 않으면 그 화물은 멸실된 것으로 본다. 또한 국토교통부장관은 손해배상 분쟁조정 업무를 한국소비자원 또는 등록된 소비자단체에 위탁할 수 있다. 분쟁조정은 화주의 요청을 전제로 할 수 있으며 당사자 쌍방이 조정안을 수락하면 조정안과 동일한 합의가 성립한 것으로 보는 것이므로 ㄱ·ㄷ을 고른 ②가 옳다."
61,물류관련법규,LR03,중,"화물자동차 운송사업자가 준수하여야 할 사항에 관한 설명으로 옳지 않은 것은?","","화주로부터 부당하게 받은 운임이나 요금의 환급을 요구받은 경우에는 이를 환급하여야 한다.","운송사업을 양도·양수하면서 발생하는 비용을 위·수탁차주에게 부당하게 부담시키는 행위를 하여서는 안 된다.","운송사업자는 법령에서 금지하는 방식으로 택시의 요금미터기를 화물자동차에 장착하여서는 안 된다.","밤샘주차는 법령에서 정한 차고지·공영차고지·화물자동차 휴게소 등의 시설이나 장소에서 하여야 한다.","최대적재량 1.5톤 이하의 화물자동차는 차고지에서만 밤샘주차할 수 있으므로 일반 주차장에서의 밤샘주차는 허용되지 않는다.",5,"최대적재량 1.5톤 이하의 화물자동차는 차고지뿐 아니라 주차장 또는 지방자치단체의 조례로 정하는 시설 및 장소에서도 밤샘주차할 수 있다. 따라서 반드시 차고지에서만 밤샘주차해야 한다는 ⑤가 옳지 않다."
62,물류관련법규,LR03,중,"다음 그림은 운송사업자 A가 특별한 중대한 사유 없이 위·수탁차주의 계약위반을 이유로 계약을 해지하려는 절차를 나타낸 것이다. 화물자동차 운수사업법에 맞게 절차를 수정한 것은?","images/questions/logistics/27회-2/q062.png","유예기간만 2개월 이상으로 변경하면 된다.","유예기간을 2개월 이상으로 하고 계약위반 사실과 미시정 시 해지한다는 내용을 서면으로 2회 이상 통지하여야 한다.","서면통지만 2회 이상 하면 되며 별도의 유예기간은 필요하지 않다.","1개월 이상의 유예기간을 두고 구두와 서면으로 각각 한 번씩 알리면 된다.","계약위반 사실을 한 번 서면통지한 후 즉시 해지할 수 있다.",2,"운송사업자가 위·수탁계약을 해지하려는 경우에는 원칙적으로 위·수탁차주에게 2개월 이상의 유예기간을 주고 계약위반 사실과 이를 시정하지 않으면 계약을 해지한다는 사실을 서면으로 2회 이상 통지하여야 한다. 따라서 ②가 옳다."
63,물류관련법규,LR03,상,"화물자동차 운송주선사업자의 허가취소 사유에 관한 다음 사례 중 국토교통부장관이 반드시 허가를 취소하여야 하는 경우만을 모두 고른 것은? ㄱ. 거짓이나 부정한 방법으로 운송주선사업 허가를 받은 경우 ㄴ. 허가를 받은 후 허가기준을 충족하지 못하게 된 경우 ㄷ. 사업정지명령을 받고도 그 정지기간 중 계속 영업한 경우","","ㄱ","ㄴ","ㄴ·ㄷ","ㄱ·ㄷ","ㄱ·ㄴ·ㄷ",4,"운송주선사업자는 거짓이나 부정한 방법으로 허가를 받은 경우와 사업정지명령을 위반하여 정지기간 중 영업한 경우 등에 대해서는 허가를 반드시 취소하여야 한다. 허가기준을 충족하지 못하게 된 경우에는 허가취소 또는 일정기간의 사업정지가 가능하지만 필요적 취소사유는 아니다. 따라서 ㄱ·ㄷ인 ④가 옳다."
64,물류관련법규,LR03,중,"화물자동차 운송가맹사업의 허가와 관리에 관한 설명으로 옳은 것은?","","주사무소 외의 장소에서 상주하여 영업하는 영업소는 별도의 허가 없이 설치할 수 있다.","운송가맹사업 허가대장은 전자적 처리가 가능하더라도 반드시 종이문서로만 작성하여야 한다.","국토교통부장관이 허가 또는 신고수리 여부나 처리기간 연장 여부를 정해진 기간 내에 통지하지 않으면 그 기간이 끝난 다음 날 허가 또는 신고수리를 한 것으로 보는 규정이 있다.","운송가맹사업의 허가권자는 사업자의 주사무소 소재지 시·도지사이다.","허가사항의 변경은 그 내용과 관계없이 모두 단순 신고만 하면 된다.",3,"화물자동차 운송가맹사업은 국토교통부장관의 허가대상이며 주사무소 외의 장소에 상주하여 영업하려면 영업소 허가도 받아야 한다. 허가대장은 특별한 사유가 없으면 전자적으로 처리하며 허가·변경허가 또는 영업소 허가 등의 처리에 관한 법정기간 내 통지가 없으면 일정한 경우 기간 종료 다음 날 허가 또는 신고수리가 이루어진 것으로 본다."
65,물류관련법규,LR03,하,"적재물배상보험등의 가입에 관한 설명으로 옳은 것은?","","이사화물을 취급하는 화물자동차 운송주선사업자는 적재물배상보험등의 의무가입 대상에 해당한다.","운송주선사업자는 적재물배상보험등에 각 화물자동차별로 가입하여야 한다.","피견인자동차는 그 종류와 관계없이 운송사업자의 적재물배상보험 의무가입 대상차량에 반드시 포함된다.","화물자동차를 직접 소유한 운송가맹사업자는 사업자별 보험만 가입하면 되고 차량별 가입은 필요하지 않다.","화물자동차의 최대적재량과 총중량은 운송사업자의 보험 의무가입 여부와 관계가 없다.",1,"화물자동차 운수사업법상 국토교통부령으로 정하는 화물을 취급하는 운송주선사업자는 적재물배상보험등에 가입하여야 하며 그 화물에는 이사화물이 해당한다. 운송주선사업자는 사업자별로 가입하는 것이 원칙이다."
66,물류관련법규,LR03,중,"화물자동차 운송사업의 위·수탁계약에 관한 설명으로 옳지 않은 것은?","","운송사업자와 위·수탁차주는 대등한 입장에서 합의에 따라 공정하게 계약을 체결하여야 한다.","위·수탁계약의 기간은 2년 이상으로 하여야 한다.","계약서에는 차량소유자와 계약기간 등 법령에서 정한 사항을 명시하고 당사자가 계약서를 보관하여야 한다.","시·도지사는 위·수탁계약의 체결·이행으로 발생하는 분쟁 해결을 지원하기 위하여 화물운송사업분쟁조정협의회를 설치·운영할 수 있다.","운송사업자가 위·수탁차주의 적법한 갱신요구를 거절하는 경우에는 요구를 받은 날부터 30일 이내에 전화나 구두로 거절사유를 알리면 된다.",5,"운송사업자가 위·수탁차주의 갱신요구를 거절하는 경우에는 그 요구를 받은 날부터 15일 이내에 거절사유를 적어 서면으로 통지하여야 한다. 따라서 30일 이내 구두통지로 충분하다는 ⑤가 옳지 않다."
67,물류관련법규,LR06,하,"다음 A와 B에 해당하는 유통산업발전법상 용어의 연결로 옳은 것은? A. 지역축제 기간인 10일 동안 한 장소에 여러 판매자와 구매자가 모여 상품을 거래한다. B. 체인본부가 가맹점에 지속적으로 경영지도를 하고 가맹점과 협력하여 취급품목과 영업방식을 표준화하면서 공동구매·공동판매를 실시한다.","","A: 상점가 / B: 직영점형 체인사업","A: 대규모점포 / B: 조합형 체인사업","A: 임시시장 / B: 프랜차이즈형 체인사업","A: 임시시장 / B: 임의가맹점형 체인사업","A: 상점가 / B: 임의가맹점형 체인사업",4,"일정한 기간 동안 다수의 수요자와 공급자가 상품을 매매하거나 용역을 제공하는 일정한 장소는 임시시장이다. 체인본부의 지속적인 경영지도와 가맹점 간 협업을 통하여 표준화와 공동구매·공동판매·공동시설활용 등의 사업을 수행하는 형태는 임의가맹점형 체인사업이므로 ④가 옳다."
68,물류관련법규,LR06,중,"유통산업발전기본계획에 관한 설명으로 옳지 않은 것은?","","산업통상부장관은 관계 중앙행정기관의 장과 협의를 거쳐 기본계획을 수립·시행한다.","유통산업발전기본계획은 유통환경 변화를 반영하기 위하여 매년 새로 수립하여야 한다.","기본계획에는 유통산업의 지역별·종류별 발전방안이 포함된다.","기본계획에는 유통전문인력·부지 및 시설 등의 수급 변화에 대한 전망이 포함된다.","산업통상부장관은 수립한 기본계획을 시·도지사에게 알려야 한다.",2,"유통산업발전기본계획은 매년이 아니라 5년마다 수립한다. 기본계획에는 국내외 여건 변화 전망·지역별 및 종류별 발전방안·유통전문인력과 부지 및 시설 등의 수급 전망 등이 포함되므로 ②가 옳지 않다."
69,물류관련법규,LR06,상,"다음 자료에서 대규모점포등의 관리규정에 관한 설명으로 옳은 것만을 모두 고른 것은?","images/questions/logistics/27회-2/q069.png","ㄱ·ㄴ","ㄱ·ㄹ","ㄴ·ㄷ","ㄱ·ㄷ·ㄹ","ㄱ·ㄴ·ㄷ",5,"대규모점포등관리자는 관리 또는 사용에 관한 관리규정을 입점상인의 3분의 2 이상의 동의를 얻어 제정하여야 한다. 입점상인이 관리규정의 열람이나 복사를 요구하면 이에 응하여야 하며 시·도지사는 효율적이고 공정한 관리를 위한 표준관리규정을 마련하여 보급한다. 따라서 자료에서 ㄱ·ㄴ·ㄷ이 옳다."
70,물류관련법규,LR06,중,"유통산업발전법상 상점가진흥조합에 관한 설명으로 옳은 것은?","","상점가진흥조합의 구역은 다른 상점가진흥조합의 구역과 서로 중복되어서는 안 된다.","상점가진흥조합은 반드시 주식회사 형태로 설립하여야 한다.","조합원이 될 수 있는 자는 기업 규모와 관계없이 해당 상점가에서 영업하는 모든 사업자이다.","조합원의 자격이 있는 자 중 과반수의 동의만 있으면 원칙적으로 조합을 결성할 수 있다.","상점가진흥조합은 같은 업종의 사업자만으로 구성되어야 하며 서로 다른 업종의 사업자는 참여할 수 없다.",1,"상점가진흥조합의 구역은 다른 상점가진흥조합의 구역과 중복될 수 없다. 조합은 협동조합 또는 사업조합으로 설립하며 조합원의 자격이 있는 자의 3분의 2 이상의 동의를 받아 결성하는 것이 원칙이다."
71,물류관련법규,LR06,중,"공동집배송센터의 지정 및 운영에 관한 설명으로 옳은 것은?","","공동집배송센터는 시·도지사가 독자적으로 지정하며 중앙행정기관의 지정절차는 필요하지 않다.","거짓이나 부정한 방법으로 공동집배송센터 지정을 받은 경우에도 지정취소 여부는 전적으로 재량사항이다.","공동집배송센터로 지정받은 날부터 정당한 사유 없이 3년 이내에 시공하지 않은 경우에는 지정취소 사유가 될 수 있다.","공동집배송센터를 신탁개발하더라도 신탁업자는 공동집배송센터사업자의 지위를 승계하지 않는다.","공동집배송센터 개발촉진지구의 지정은 시장·군수·구청장이 산업통상부장관에게 직접 요청하여야 한다.",3,"공동집배송센터로 지정받은 후 정당한 사유 없이 3년 이내에 시공하지 않는 경우에는 지정취소 사유가 된다. 거짓이나 부정한 방법으로 지정을 받은 경우에는 반드시 지정을 취소하여야 하며 신탁개발 시 신탁업자는 공동집배송센터사업자의 지위를 승계한다. 촉진지구 지정은 시·도지사가 산업통상부장관에게 요청한다."
72,물류관련법규,LR05,중,"항만운송사업의 종류와 그 업무내용의 연결로 옳지 않은 것은?","","항만하역사업－항만에서 화물을 선박에 싣거나 선박으로부터 내리는 등의 작업을 수행하는 사업","검수사업－통선을 이용하여 본선과 육지 사이의 연락을 중계하는 사업","감정사업－선적화물이나 선박에 관한 증명·조사·감정을 수행하는 사업","검량사업－선적화물의 용적 또는 중량을 계산하거나 증명하는 사업","검수사업－선적화물을 싣거나 내릴 때 화물의 개수를 계산하거나 인도·인수를 증명하는 사업",2,"통선을 이용하여 본선과 육지 사이의 연락을 중계하는 행위는 항만운송사업 중 검수사업이 아니라 항만운송관련사업인 항만용역업에 해당한다. 검수는 화물의 개수를 계산하거나 인도·인수를 증명하는 업무이므로 ②가 옳지 않다."
73,물류관련법규,LR05,중,"항만운송사업 및 항만운송관련사업의 등록·신고에 관한 설명으로 옳지 않은 것은?","","항만하역사업과 검수사업은 항만별로 등록한다.","한정하역사업은 이용자·취급화물 또는 항만시설의 특성을 고려하여 등록기준을 완화할 수 있다.","선용품공급업을 하려는 자는 법령에서 정한 바에 따라 신고하여야 한다.","선박연료공급업자가 사용하려는 장비를 추가하는 경우에는 사업계획 변경신고의 대상이 될 수 있다.","감정사업과 검량사업도 검수사업과 마찬가지로 반드시 항만별로 각각 등록하여야 한다.",5,"항만하역사업과 검수사업은 항만별로 등록하지만 감정사업과 검량사업은 법에서 항만별 등록대상으로 규정하고 있지 않다. 또한 선용품공급업은 신고대상이며 선박연료공급업자는 사용장비 추가 등 법정사항을 변경하는 경우 사업계획 변경신고를 해야 하므로 ⑤가 옳지 않다."
74,물류관련법규,LR05,상,"다음 자료에서 감정사업자가 요금을 변경신고할 때 신고서에 기재하여야 할 사항으로 적절한 것만을 모두 고른 것은?","images/questions/logistics/27회-2/q074.png","ㄱ·ㄷ","ㄴ·ㄷ","ㄱ·ㄴ·ㄹ","ㄴ·ㄷ·ㄹ","ㄱ·ㄴ·ㄷ·ㄹ",3,"감정사업자가 요금을 변경신고하는 경우에는 사업의 종류·취급화물의 종류·변경 전후의 요금과 변경사유 및 변경하려는 요금의 적용방법 등 법령에서 정한 사항을 기재한다. 항만명은 검수사업에 해당하는 사항이므로 자료의 ㄱ·ㄴ·ㄹ을 고른 ③이 옳다."
75,물류관련법규,LR04,중,"철도사업자의 사업계획 변경에 관한 설명으로 옳은 것은?","","철도사업자는 사업계획을 변경하려는 경우 원칙적으로 신고하여야 하며 대통령령으로 정하는 중요 사항을 변경하려는 경우에는 국토교통부장관의 인가를 받아야 한다.","사업계획의 변경은 그 내용의 중요성과 관계없이 모두 국토교통부장관의 허가를 받아야 한다.","국토교통부장관은 사업계획 변경신고를 받은 날부터 30일 이내에 신고수리 여부를 통지하여야 한다.","철도사고가 일정 기준 이상 발생한 사업자에 대해서도 사업계획의 변경을 제한할 수 없다.","대통령령으로 정하는 중요 사항의 변경도 일반적인 변경과 동일하게 신고만 하면 된다.",1,"철도사업자는 사업계획을 변경하려면 원칙적으로 국토교통부장관에게 신고하여야 한다. 다만 대통령령으로 정하는 중요 사항을 변경하는 경우에는 인가를 받아야 한다. 또한 일반적인 변경신고의 신고수리 여부 통지기간은 3일이므로 ①이 옳다."
76,물류관련법규,LR04,하,"철도사업법상 과징금처분에 관한 설명으로 옳지 않은 것은?","","사업정지처분이 철도서비스 이용자에게 심한 불편을 주거나 공익을 해칠 우려가 있는 경우 사업정지 대신 과징금을 부과할 수 있다.","사업정지처분을 갈음하여 부과하는 과징금의 상한은 1억원이다.","과징금 부과처분을 받은 자가 납부기한까지 납부하지 않으면 국세 체납처분의 예에 따라 징수할 수 있다.","과징금으로 징수한 금액은 철도사업과 관계없는 일반 행정경비를 포함하여 아무 용도로든 자유롭게 사용할 수 있다.","국토교통부장관은 과징금으로 징수한 금액에 대한 운용계획을 수립하여 시행하여야 한다.",4,"철도사업법에 따라 징수된 과징금은 철도사업 종사자의 양성·교육훈련을 위한 시설이나 철도사업의 경영개선 및 발전에 필요한 사업 등 법에서 정한 용도로 사용하여야 한다. 따라서 아무 용도로든 사용할 수 있다는 ④가 옳지 않다."
77,물류관련법규,LR04,중,"철도사업자의 의무 등에 관한 설명으로 옳지 않은 것은?","","철도사업자는 운임·요금을 국토교통부장관에게 신고하여야 하며 이를 변경하려는 경우에도 신고하여야 한다.","철도사업자가 신고한 운임·요금을 변경하려면 반드시 국토교통부장관의 사전 인가를 받아야 한다.","신고하거나 변경신고한 운임·요금은 시행 1주일 이전에 인터넷 홈페이지나 관계 역 등 일반인이 잘 볼 수 있는 곳에 게시하여야 한다.","철도사업에 사용되는 철도차량에는 철도사업자의 명칭 등 법령에서 정하는 사항을 표시하여야 한다.","철도운영의 효율성과 회계처리의 투명성을 위해 철도사업의 종류별·노선별로 회계를 구분하여 경리하여야 한다.",2,"철도사업의 운임·요금은 인가제가 아니라 신고제가 적용되며 변경하는 경우에도 변경신고를 하는 것이 원칙이다. 따라서 운임·요금 변경에 반드시 사전 인가가 필요하다는 ②가 옳지 않다."
78,물류관련법규,LR04,상,"다음 자료에서 철도사업법상 전용철도에 관한 설명으로 옳은 것만을 모두 고른 것은?","images/questions/logistics/27회-2/q078.png","ㄱ·ㄹ","ㄴ·ㄹ","ㄷ·ㄹ","ㄱ·ㄴ","ㄱ·ㄴ·ㄷ",5,"전용철도를 운영하려는 자는 건설·운전·보안 및 운송에 관한 사항이 포함된 운영계획서를 첨부하여 국토교통부장관에게 등록하여야 하며 등록사항의 변경도 원칙적으로 등록대상이다. 또한 운영의 전부 또는 일부를 휴업하거나 폐업한 경우에는 1개월 이내에 신고하여야 한다. 전용철도 운영의 양도·양수는 인가가 아니라 신고대상이므로 ㄱ·ㄴ·ㄷ인 ⑤가 옳다."
79,물류관련법규,LR07,하,"농수산물도매시장의 개설에 관한 설명으로 옳은 것은?","","시가 지방도매시장을 개설하려는 경우에는 도지사의 허가를 받아야 한다.","중앙도매시장은 특별시·광역시뿐 아니라 모든 시·군이 자유롭게 개설할 수 있다.","지방도매시장은 특별자치도만 개설할 수 있고 일반 시는 개설할 수 없다.","농수산물도매시장은 국가나 지방자치단체뿐 아니라 일반 개인도 동일한 절차로 개설할 수 있다.","중앙도매시장과 지방도매시장은 개설주체와 관계없이 모두 농림축산식품부장관의 개별 허가를 받아야 한다.",1,"지방도매시장은 특별시·광역시·특별자치시·특별자치도 또는 시가 개설할 수 있으며 시가 지방도매시장을 개설하려면 도지사의 허가를 받아야 한다. 따라서 ①이 옳다."
80,물류관련법규,LR07,중,"농수산물공판장의 개설과 거래관계자에 관한 설명으로 옳은 것은?","","농수산물공판장을 개설하려는 자는 시장·군수·구청장의 승인을 받아야 한다.","공판장의 경매사는 시·도지사가 직접 임명하고 해임한다.","공판장에는 중도매인·매매참가인·산지유통인 및 경매사를 둘 수 있다.","공판장의 중도매인은 농림축산식품부장관 또는 해양수산부장관이 직접 지정한다.","공판장 개설승인을 신청할 때에는 업무규정이나 운영관리계획서를 제출할 필요가 없다.",3,"농수산물공판장에는 중도매인·매매참가인·산지유통인 및 경매사를 둘 수 있다. 공판장의 개설은 시·도지사의 승인을 받아야 하고 중도매인은 공판장 개설자가 지정하며 경매사도 개설자가 임면한다. 따라서 ③이 옳다."
